,Place,Details,Class,Cleaned_Details
0,"""The Song of Everlasting Sorrow""","""Song of Everlasting Sorrow"" is a historical drama adapted from the poem of the famous Tang Dynasty poet Bai Juyi. The drama describes the love story between Emperor Tang Xuanzong and his concubine Yang Guifei during the Tang Dynasty. The performance venue is in Huaqing Palace, a famous scenic spot in Xi’an, and the famous Mount Lishan serves as the background of the performance. By means of mountain and river scenes, classic music and dance, narrative poem, high-tech lighting, acoustics and special effects, ""Song of Everlasting Sorrow"" gives the audience a chance to travel back in time to appreciate the love that happened at the foot of Lishan Mountain and the bank of Huaqing pool 1000 years ago, and experience the culture of the flourishing Tang Dynasty.",None Related,song everlasting sorrow historical drama adapted poem famous tang dynasty poet bai juyi drama describes love story emperor tang xuanzong concubine yang guifei tang dynasty performance venue huaqing palace famous scenic spot xi famous mount lishan serves background performance means mountain river scenes classic music dance narrative poem lighting acoustics special effects song everlasting sorrow gives audience chance travel back time appreciate love happened foot lishan mountain bank huaqing pool 1000 years ago experience culture flourishing tang dynasty
1,25th of April Bridge,"On April 25, the bridge spanned both sides of the Tejo River, connecting Lisbon and the city of Almada on the opposite bank, and it is one of the landmarks of Lisbon. On April 25, the bridge has a total length of 2277 meters, with six lines of traffic on the upper level and railways on the lower level. Because its exterior color is similar to the Golden Gate Bridge in the United States, the contractors of the two bridges are the same company, and they are often called the sister bridge of the Golden Gate Bridge by the outside world. The bridge connects Lisbon with the city of Almada on the opposite bank. On the top of the mountain in Almada, a Christ with open arms stands tall here. People who sailed in those days always set off under this sculpture to go to the unknown world. Today, the April 25 bridge has experienced more than 40 years of wind and rain, and it still glows red, like a red ribbon, hanging over the Tejo River, becoming a beautiful landscape in Lisbon.",None Related,april 25 bridge spanned sides tejo river connecting lisbon city almada opposite bank one landmarks lisbon april 25 bridge total length 2277 meters six lines traffic upper level railways lower level exterior color similar golden gate bridge united states contractors two bridges company often called sister bridge golden gate bridge outside world bridge connects lisbon city almada opposite bank top mountain almada christ open arms stands tall people sailed days always set sculpture go unknown world today april 25 bridge experienced 40 years wind rain still glows red like red ribbon hanging tejo river becoming beautiful landscape lisbon
2,25th of April Bridge,"On April 25, the bridge spanned both sides of the Tejo River, connecting Lisbon and the city of Almada on the opposite bank, and it is one of the landmarks of Lisbon. On April 25, the bridge has a total length of 2277 meters, with six lines of traffic on the upper level and railways on the lower level. Because its exterior color is similar to the Golden Gate Bridge in the United States, the contractors of the two bridges are the same company, and they are often called the sister bridge of the Golden Gate Bridge by the outside world. The bridge connects Lisbon with the city of Almada on the opposite bank. On the top of the mountain in Almada, a Christ with open arms stands tall here. People who sailed in those days always set off under this sculpture to go to the unknown world. Today, the April 25 bridge has experienced more than 40 years of wind and rain, and it still glows red, like a red ribbon, hanging over the Tejo River, becoming a beautiful landscape in Lisbon.",None Related,april 25 bridge spanned sides tejo river connecting lisbon city almada opposite bank one landmarks lisbon april 25 bridge total length 2277 meters six lines traffic upper level railways lower level exterior color similar golden gate bridge united states contractors two bridges company often called sister bridge golden gate bridge outside world bridge connects lisbon city almada opposite bank top mountain almada christ open arms stands tall people sailed days always set sculpture go unknown world today april 25 bridge experienced 40 years wind rain still glows red like red ribbon hanging tejo river becoming beautiful landscape lisbon
3,3D Black Art,"Myeongdong 3D Art Museum uses ultra-realistic 3D dislocation painting technology, coupled with special treatment of luminous perspective, every 5 minutes the painting works will have strange light and shadow changes. The 3D Luminous Art Museum is different from other 3D image galleries, it appears in the dark without light. Here, you can make your own favorite luminous mask, take pictures full of mysterious colors, and experience the sense of mysterious magic brought by colorful lights in the dark. The lights in the pavilion will go out every 5 minutes. Walking in the passage is like passing through the dark light and fantasy space, stimulating your imagination at any time. You are surrounded by strange sights that you cannot see when the lights are on. There are monsters with green faces and fangs, ghosts and ghosts, animals that move and still, and entertainment facilities with strange shapes. If you observe carefully, you will find that their movements and expressions are very different at the moment when the lights are on and off, which is also the biggest feature of the Luminous Museum.",None Related,myeongdong 3d art museum uses 3d dislocation painting technology coupled special treatment luminous perspective every 5 minutes painting works strange light shadow changes 3d luminous art museum different 3d image galleries appears dark without light make favorite luminous mask take pictures full mysterious colors experience sense mysterious magic brought colorful lights dark lights pavilion go every 5 minutes walking passage like passing dark light fantasy space stimulating imagination time surrounded strange sights see lights monsters green faces fangs ghosts ghosts animals move still entertainment facilities strange shapes observe carefully find movements expressions different moment lights also biggest feature luminous museum
4,3billion,"Company that offers genetic testing for rare diseases, such as Mendelian disorders, using the latest sequencing technology and unlimited reanalysis",bioinformatic,company offers genetic testing rare diseases mendelian disorders using latest sequencing technology unlimited reanalysis
5,63 Building,"63 City is a skyscraper on Seoul's Yeouido Island, overlooking the Han River. The name comes from the building's 63 stories, 60 of which are above ground and 3 of which are below ground. It is an all-inclusive tourist attraction. The whole building is clad in double reflective glass, which gives it a brilliant golden appearance in the sunlight. Take high-speed elevators up to the 60th floor observation deck not only to get a panoramic view of Seoul but also to overlook Incheon's coastline. It is particularly charming at night. 63 City also has an IMAX movie theater, restaurants, businesses, an aquarium and numerous entertainment facilities.",None Related,63 city skyscraper seoul yeouido island overlooking han river name comes building 63 stories 60 ground 3 ground tourist attraction whole building clad double reflective glass gives brilliant golden appearance sunlight take elevators 60th floor observation deck get panoramic view seoul also overlook incheon coastline particularly charming night 63 city also imax movie theater restaurants businesses aquarium numerous entertainment facilities
6,ABB,"ABB’s portfolio of robotics products serves several industries, including healthcare, logistics, metal fabrication, construction and fabrication. Among those products are autonomous mobile robots and RobotStudio, which is an offline programming and simulation tool for robotic applications",robotic,abb portfolio robotics products serves several industries including healthcare logistics metal fabrication construction fabrication among products autonomous mobile robots robotstudio offline programming simulation tool robotic applications
7,ACEINNA,ACEINNA as a MEMS sensor and sensing solution company is focusing on innovative current sensing technology and Inertial Measurement Unit (IMU) sensing technology,robotic,aceinna mems sensor sensing solution company focusing innovative current sensing technology inertial measurement unit imu sensing technology
8,AI SpaceFactory,"focused on creating groundbreaking technology to facilitate the expansion of human life both on and off of Earth. The company has developed TERA, a sustainable 3D-printed structure with a renewable and recyclable exterior shell that provides a more efficient model for building on Earth and the potential for survival on Mars and the Moon",aerospace,focused creating groundbreaking technology facilitate expansion human life earth company developed tera sustainable structure renewable recyclable exterior shell provides efficient model building earth potential survival mars moon
9,AJ Hackett Kawarau Bungy Centre,"Bungee jumping is an insanely exciting high-altitude jumping activity with die-hard fans, and the craze started with jumping off the Kawarau Bridge in November 1988. The AJ Hackett Kawarau Bridge Bungy Centre is the birthplace of bungee jumping in the world and a very representative location for outdoor adventures in Queenstown. Under the Kawarau Bridge is the famous Kawarau River. There are many types of bungee jumping projects, and tourists can have personalized requirements. The staff will adjust the bungee rope according to your requirements, for example, tourists can choose whether to get wet or not.",None Related,bungee jumping insanely exciting jumping activity fans craze started jumping kawarau bridge november aj hackett kawarau bridge bungy centre birthplace bungee jumping world representative location outdoor adventures queenstown kawarau bridge famous kawarau river many types bungee jumping projects tourists personalized requirements staff adjust bungee rope according requirements example tourists choose whether get wet
