Place,Details,Class,WordCount
25th of April Bridge,"['april', 'bridge', 'spanned', 'sides', 'tejo', 'river', 'connecting', 'lisbon', 'city', 'almada', 'opposite', 'bank', 'landmarks', 'lisbon', 'april', 'bridge', 'total', 'length', 'meters', 'six', 'lines', 'traffic', 'upper', 'level', 'railways', 'lower', 'level', 'exterior', 'color', 'similar', 'golden', 'gate', 'bridge', 'united', 'states', 'contractors', 'two', 'bridges', 'company', 'often', 'called', 'sister', 'bridge', 'golden', 'gate', 'bridge', 'outside', 'world', 'bridge', 'connects', 'lisbon', 'city', 'almada', 'opposite', 'bank', 'top', 'mountain', 'almada', 'christ', 'open', 'arms', 'stands', 'tall', 'sailed', 'days', 'always', 'set', 'sculpture', 'go', 'unknown', 'world', 'today', 'april', 'bridge', 'experienced', 'years', 'wind', 'rain', 'still', 'glows', 'red', 'like', 'red', 'ribbon', 'hanging', 'tejo', 'river', 'becoming', 'beautiful', 'landscape', 'lisbon']",None Related,183
3D Black Art,"['myeongdong', 'art', 'museum', 'uses', 'dislocation', 'painting', 'technology', 'coupled', 'special', 'treatment', 'luminous', 'perspective', 'every', 'minutes', 'painting', 'works', 'strange', 'light', 'shadow', 'changes', 'luminous', 'art', 'museum', 'different', 'image', 'galleries', 'appears', 'dark', 'without', 'light', 'make', 'favorite', 'luminous', 'mask', 'pictures', 'full', 'mysterious', 'colors', 'experience', 'sense', 'mysterious', 'magic', 'brought', 'colorful', 'lights', 'dark', 'lights', 'pavilion', 'go', 'every', 'minutes', 'walking', 'passage', 'like', 'passing', 'dark', 'light', 'fantasy', 'space', 'stimulating', 'imagination', 'time', 'surrounded', 'strange', 'sights', 'lights', 'monsters', 'green', 'faces', 'fangs', 'ghosts', 'ghosts', 'animals', 'move', 'still', 'entertainment', 'facilities', 'strange', 'shapes', 'observe', 'carefully', 'find', 'movements', 'expressions', 'different', 'moment', 'lights', 'biggest', 'feature', 'luminous', 'museum']",None Related,181
3billion,"['company', 'offers', 'genetic', 'testing', 'rare', 'diseases', 'mendelian', 'disorders', 'using', 'latest', 'sequencing', 'technology', 'unlimited', 'reanalysis']",Biotechnology,20
63 Building,"['city', 'skyscraper', 'seoul', 'yeouido', 'island', 'overlooking', 'han', 'river', 'name', 'comes', 'building', 'stories', 'ground', 'ground', 'tourist', 'attraction', 'whole', 'building', 'clad', 'double', 'reflective', 'glass', 'gives', 'brilliant', 'golden', 'appearance', 'sunlight', 'elevators', 'floor', 'observation', 'deck', 'get', 'panoramic', 'view', 'seoul', 'overlook', 'incheon', 'coastline', 'particularly', 'charming', 'night', 'city', 'imax', 'movie', 'theater', 'restaurants', 'businesses', 'aquarium', 'numerous', 'entertainment', 'facilities']",None Related,106
ABB,"['abb', 'portfolio', 'robotics', 'products', 'serves', 'several', 'industries', 'including', 'healthcare', 'logistics', 'metal', 'fabrication', 'construction', 'fabrication', 'among', 'products', 'autonomous', 'mobile', 'robots', 'robotstudio', 'offline', 'programming', 'simulation', 'tool', 'robotic', 'applications']",Robotic,36
ACEINNA,"['aceinna', 'mems', 'sensor', 'sensing', 'solution', 'company', 'focusing', 'innovative', 'current', 'sensing', 'technology', 'inertial', 'measurement', 'unit', 'imu', 'sensing', 'technology']",Robotic,23
AI SpaceFactory,"['focused', 'creating', 'groundbreaking', 'technology', 'facilitate', 'expansion', 'human', 'life', 'earth', 'company', 'developed', 'tera', 'sustainable', 'structure', 'renewable', 'recyclable', 'exterior', 'shell', 'provides', 'efficient', 'model', 'building', 'earth', 'potential', 'survival', 'mars', 'moon']",Aerospace,54
AJ Hackett Kawarau Bungy Centre,"['bungee', 'jumping', 'insanely', 'exciting', 'jumping', 'activity', 'fans', 'craze', 'started', 'jumping', 'kawarau', 'bridge', 'november', 'aj', 'hackett', 'kawarau', 'bridge', 'bungy', 'centre', 'birthplace', 'bungee', 'jumping', 'world', 'representative', 'location', 'outdoor', 'adventures', 'queenstown', 'kawarau', 'bridge', 'famous', 'kawarau', 'river', 'types', 'bungee', 'jumping', 'projects', 'tourists', 'personalized', 'requirements', 'staff', 'adjust', 'bungee', 'rope', 'according', 'requirements', 'example', 'tourists', 'choose', 'whether', 'get', 'wet']",None Related,96
AMP Robotics,"['puts', 'ai', 'work', 'automate', 'recycling', 'ai', 'platform', 'powers', 'company', 'robotic', 'sorting', 'system', 'able', 'recognize', 'recyclable', 'materials', 'distinguish', 'types', 'plastics', 'papers', 'metals']",Robotic,31
ARGUS International,"['provides', 'variety', 'aviation', 'safety', 'software', 'services', 'empower', 'flight', 'providers', 'build', 'strongest', 'business', 'possible', 'pushing', 'boundaries', 'industry', 'success', 'faa', 'certification', 'air', 'carrier', 'audits', 'business', 'aviation', 'audits', 'flight', 'tracking', 'custom', 'reporting', 'services', 'available', 'argus', 'international', 'fill', 'knowledge', 'gaps', 'facilitate', 'efficient', 'practices', 'keep', 'flights', 'soaring', 'smoothly']",Aerospace,60
ARM Institute,"['arm', 'focuses', 'developing', 'innovative', 'technologies', 'collaborative', 'robots', 'machine', 'learning', 'computer', 'vision', 'advanced', 'automation', 'solutions']",Robotic,19
AbbVie,"['discover', 'deliver', 'innovative', 'medicines', 'solutions', 'address', 'complex', 'health', 'issues', 'enhance', 'lives']",Biotechnology,16
Abbaye de Mont-St-Michel,"['mont', 'saint', 'michel', 'abbey', 'mont', 'saint', 'michel', 'mont', 'saint', 'michel', 'overlooks', 'english', 'channel', 'north', 'monastery', 'like', 'finishing', 'touch', 'top', 'mountain', 'making', 'overall', 'visual', 'effect', 'spectacular', 'place', 'occupied', 'british', 'third', 'holiest', 'place', 'catholicism', 'church', 'abbey', 'whole', 'project', 'lasted', 'nearly', 'hundred', 'years', 'ended', 'france', 'annexed', 'normandy', 'old', 'mont', 'abbey', 'set', 'fire', 'new', 'monastery', 'rebirth', 'fire', 'turned', 'monastery', 'architectural', 'masterpiece', 'still', 'recognized', 'model', 'medieval', 'gothic', 'architecture']",None Related,130
Abbott Laboratories,"['health', 'care', 'company', 'specializes', 'cardiovascular', 'diagnostics', 'diabetes', 'neuromodulation', 'products', 'abbott', 'produces', 'nutrition', 'brands', 'including', 'pedialyte', 'ensure', 'glucerna', 'similac']",Biotechnology,22
Abu Simbel Temples,"['temple', 'ramses', 'ii', 'show', 'prolong', 'life', 'afterlife', 'temple', 'two', 'towering', 'gates', 'column', 'hall', 'huge', 'stone', 'columns', 'two', 'broad', 'courtyards', 'three', 'sanctuaries', 'spectacular', 'visit', 'read', 'history', 'changes', 'architectural', 'styles', 'construction', 'techniques', 'various', 'types', 'temples', 'egypt']",None Related,67
Accuray,"['accuray', 'robots', 'help', 'cancer', 'treatments', 'surgeries', 'employing', 'variety', 'arms', 'administer', 'radiotherapy', 'affected', 'parts', 'body', 'including', 'pancreas', 'lungs', 'brain', 'accuray', 'cyberknife', 'system', 'first', 'surgical', 'tool', 'administers', 'robotic', 'radiotherapy', 'instead', 'traditional', 'chemotherapy', 'targets', 'wide', 'area', 'body', 'robotic', 'surgery', 'tool', 'pinpoints', 'specific', 'areas', 'cancers', 'found', 'keeps', 'collateral', 'damage', 'minimum']",Robotic,71
