web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Country,Place,Details
1702446974-1,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"1000. Hainan Provincial Museum6.94.5/5279 Reviewsbased on 43 reviewNo. 1 of Top Museums & Galleries in HaikouMuseumsE32***66a very spacious building, very visual and picturesque presentation of an ancient shipwreck, with a huge cinema screen to show some history. Pretty informative on the ethnic inhabitation and current state of things. These are pictures of the Li nation folk craftChina · HaikouFree",https://my.trip.com/travel-guide/attraction/haikou/hainan-provincial-museum-88312/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,Hainan Provincial Museum,"The Hainan Provincial Museum has 10 exhibition halls, 6 of which are the basic exhibitions of the museum, including: Intangible Cultural Heritage, Heavy Instrumental Light Exhibition, Hainan Historical Exhibition, Hainan Tibetan Cultural Relics, Hainan Minority Five Subjects, Hainan History, ethnic minority culture, South African material and cultural heritage, and Hainan cultural relics have been displayed in all directions."
1702447024-2,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"999. Shitai Guniu Peak6.94.4/51.4k ReviewsNo. 1 of Top Best Things to Do in ShitaiMountain ClimbingMountains协诚邕沪Yak Niujiang has mountains, waters and stories, natural landscape and humanistic landscape complement each other, mild climate, beautiful scenery, cultural tolerance, complete conditions, can enjoy a relaxing time, but also make people feel the fun of life.China · Chizhou",https://my.trip.com/travel-guide/attraction/shitai/shitai-guniu-peak-10765020/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,Shitai Guniu Peak,"Located at the junction of Shitai and Qimen Counties, Shitai Guniu Peak is Eastern China's third-highest mountain peak. The climate in the territory is mild with abundant rainfall and fertile soil. The natural conditions here can only be described as exceptional. Due to the area's remote nature and the scarcity of tourists, its natural plant life is very well preserved. This is one of China's rare mid-subtropical forest ecological protection areas. This place has some of the country's important protected tree and fruit species such as Magnolia sieboldii and Liriodendron chinense."
1702447032-3,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"Closed998. House of the Huangcheng Chancellor (Huangcheng Xiangfu)6.94.6/53.4k Reviewsbased on 55 reviewNo. 1 of Top Best Things to Do in YangchengFamous ResidencesHistorical Architectures一火一丁也自在This stood for four hundred years in Zhongdaozhuang, heaven, earth, gate, wall, four sides, sitting north to south, east by mountains, west by rivers, building square, door hall separation, pay attention to symmetry, in the mountains and water condensed the essence of Chinese traditional living culture. Douzhuju, Heshanlou, Tunbingdong, Chen's Ancestral Hall, Shudeyuan, Shipailou, Zhiyuan, every existence that has been seen and touched, reflects the story of the past. Let me be in Xiangfu, and suddenly have the illusion of Chen Xiang returning to the house, so that I can cross the door of time and space and go to the courtyard to see what it is: the continuation of the spirit of the family, the prosperity of the family, the prosperity of the children, that is, the generation of Chen family adhering to ""poor but alone, Daze and the world's ""ancestral training unremitting efforts, unparalleled fruit, but only living in it, the people who grow in it know the true meaning of the family name. TIPS: Location: Navigate to search for the imperial city Xiangfu to ticket: 120 yuan/person, Ctrip 96 yuan/person parking: The entrance of the scenic spot is the parking lot, 10 yuan/time. Play time: 2-3 hourly, please ask a tour guide to listen to the explanation, the tour guide knows the route, and the tour guide can turn the whole matching corner again, and do not go back. Visit Xiangfu during the day, watch ""Return to Xiangfu"" at night, follow the actors through time and space in the strange night scene, and then return to the Qing Dynasty to see the life of a generation of famous Chen Tingjing. Tickets for ""Return to Xiangfu"": 166 yuan/person (Ctrip reservation) Performance time: Tuesday to Sunday 19:30—21:00 Food: Yangcheng roast liver, oiled corners, meat cans, roasted onions, millet pancakes.China · Jincheng",https://my.trip.com/travel-guide/attraction/yangcheng/house-of-the-huangcheng-chancellor-84031/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,House of the Huangcheng Chancellor (Huangcheng Xiangfu),"The “House of the Huangcheng Chancellor” was the official mansion of the famous Qing dynasty official Chen Tingjing, who was the chief editor of the Kangxi Dictionary (the standard Chinese dictionary of the 18th and 19th centuries) and tutor of Emperor Kangxi. The entire architectural complex is divided into an “inner city” and “outer city,” and the architectural style is similar to that of the Qiao Family Compound or Wang Family Compound in Shanxi; all are classic examples of the northern courtyard architecture of the Ming and Qing dynasties (1368-1912). However, it is different in that as many as 38 members of the Chen clan who resided here were government officials. The complex also has a plaque inscribed and bestowed by the Kangxi Emperor himself, in honor of the complex and its owner."
1702447041-4,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"997. Yaoli Destination6.94.4/51.7k ReviewsNo. 1 of Top Best Things to Do in FuliangAncient Towns胤小四The night view is good, the bitter tofu is eaten for the first time, and I feel full of delicious food. The most impressive thing is the kiln site, where the ancients used water to replace the soil embryo of the porcelain with manpower. I hope that local officials will ask professionals to plan the scenic spot and make full use of the existing wooden carving ancient buildings.China · Jingdezhen",https://my.trip.com/travel-guide/attraction/fuliang/yaoli-destination-98991/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,Yaoli Destination,"The Yaoli tourist destination, located just Northeast of Jingde Village, was called the ""Kiln"" in ancient times, and is hailed as the birthplace of Jingde Village ceramics. Here we can find the quiet remains of many old Huizhou style buildings, as well as beautiful ecological landscape, and the imprints of the prosperous local ceramics industry. The destination includes five scattered scenic regions, including the highly recommended Wang Lake. This area has appeared in several movies, featuring its ancient architecture, and beautiful scenery full of forests and waterfalls."
1702447050-5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"996. People's Square6.94.7/510.5k Reviewsbased on 1k reviewSquaressculptorShanghai's People's Square, a political, economic, cultural and tourism center in Shanghai, has undergone a dramatic transformation more than two decades ago. Most of the landmarks in the square were built at the time, including the Shanghai Museum, Grand Theatre, and the Urban Planning Exhibition Hall.China · ShanghaiFree",https://my.trip.com/travel-guide/attraction/shanghai/people-s-square-91002/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,People's Square,"People's Square is a large public square located in central Shanghai. Once a horse racing track at the Shanghai Race Club, People's Square is an important Shanghai landmark. Distances on all Shanghai highways originate from People's Square and significant city institutions such as the Shanghai People's Government, the Shanghai Grand Theatre, the Shanghai Museum, and Nanjing Road Pedestrian Street are all situated around the square. It is an important meeting place and public space. Walking through the square provides a great view of many of Shanghai's most recognizable skyscrapers."
1702447058-6,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"995. Bai Mansion6.94.5/5789 Reviewsbased on 60 reviewNo. 1 of Top Local History in ChongqingHistorical Architectures玉看景美Chongqing Bai Mansion is on Gele Mountain. The surrounding environment is elegant and the vegetation is lush. It is a quiet place with beautiful mountains and clear waters. But it was regarded by the Kuomintang government at that time as a place to detain and maim revolutionary comrades. The tourists who visited were all expressionless and in a sad mood. After the visit, they left silently.China · ChongqingFree",https://my.trip.com/travel-guide/attraction/chongqing/bai-mansion-80447/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,Bai Mansion,"White House Hotel, nestled amid Ge Le Mountain in Chongqing‘s Shapingba District, was originally a villa owned by warlord Bai Ju, and now it is a momument of revolution where one reminisce and lament the revolutory martyrs. After the SIno-Japanese War, the place served as a place of captivity where famous patriots and communist party members were imprisoned, including Sister Jiang and ""Xiao Luobotou""  (Little Radish Head); this is also the original setting of the novel Red Crag."
1702447070-7,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,994. The Londoner Macao6.94.7/5231 ReviewsNo. 2 of Top Best Local Attractions in MacauResortsFeatured NeighborhoodsNSM-DiaryI can’t count how many times I am here and enjoy the view and the enthusiastic music and view here at night. I never feel bored of returning.China · MacauFree,https://my.trip.com/travel-guide/attraction/macau/the-londoner-macao-107330861/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,The Londoner Macao,"The Londoner Macao is located in the heart of Cotai Strip with a investment of $1.5 billion. It brings together the rich and diverse historical culture of London, along with unforgettable modern elements, personalities and entertainment projects to give visitors a truly authentic London experience."
1702447078-8,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"993. Autumn-Admiring Pavilion6.94.5/51.2k Reviewsbased on 75 reviewNo. 17 of Top Best Things to Do in ChangshaHistorical ArchitecturesDisney1983The love night pavilion, known for Du Mu's poems, has always wanted to visit and visit. Taking advantage of this National Day holiday, I specially got up early to visit. Changsha has not entered the late autumn, and the leaves are still green. I didn't see Du Mu's poem. ""Frost leaves are red in February flowers"", but the scenery is leisurely. Still refreshing.China · ChangshaFree",https://my.trip.com/travel-guide/attraction/changsha/autumn-admiring-pavilion-77596/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,Autumn-Admiring Pavilion,"Autumn-Admiring Pavilion in Changsha is a great place to see the leaves changing color during the fall season on Yuelu Mountain, when the pavilion is surrounded by layers and layers of orange and red leaves. Autumn-Admiring Pavilion was built in the 57th year of Qing Emperor Qianlong (AD 1792). Today’s visitors see a remodeling of the pavilion done just after the founding of the People’s Warlord Era. The Autumn-Admiring Pavilion hanging here today is based on the calligraphy done by Mao Zedong."
1702447087-9,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,992. Luodai Ancient Town6.94.4/5636 Reviewsbased on 277 reviewNo. 16 of Top Fun Attractions Nearby in GuangyuanAncient TownsCoachEppleyThe Luodai Ancient Town was about a 40 minute drive from Global Center in the southern part of Chengdu. We took a DiDi to get there because we had a big group but in the future I plan to take the Metro and then bicycle the rest of the way. The town itself is pretty cool but the real attraction is an extra 20 or so minutes away by car to the Luodai Great Wall. This attraction is a new replica of the actual wall in Northern China and serves for great picture taking opportunities and some wonderful views of nature which is quite refreshing after being in the grey and smoggy city. If you can’t handle a rigorous hike though its best to stick to the Ancient Town. There are kilometers and kilometers of very steep steps at the wall.China · ChengduFree,https://my.trip.com/travel-guide/attraction/chengdu/luodai-ancient-town-82946/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,Luodai Ancient Town,"Luodai Ancient Town is located in the Longquanyi District of Chengdu. The town is a well-preserved ancient Hakka town in the suburbs of Chengdu.  The old streets and Hakka houses in the town are well preserved. The old street is laid out as “one street and seven alleys.”  There are shops on both sides of the street. The four convention halls (Guangdong Guild Hall, Jiangxi Guild Hall, Huguang Guild Hall, and North Sichuan Guild Hall) and the Hakka Museum retain the atmosphere of the Hakka."
1702447101-10,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"991. Meet With Disney Friends6.94.8/516.8k ReviewsOther Experiencesm12***35Disney play guide, [View] It is recommended to stay in the scenic spot, [Interesting] The natural scenery is infinitely good, [Cost-effective] I look forward to your participation, and there may be surprises when walking on the boardwalk.China · Shanghai",https://my.trip.com/travel-guide/attraction/shanghai/meet-with-disney-friends-64673287/?locale=en-MY&curr=MYR,100,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/100.html/?locale=en-MY&curr=MYR,China,Meet With Disney Friends,"Here, visitors can take photos with cute Disney cartoon characters, and it feels great!"
