web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Place,Details
1702448803-1,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 09:0070. Hall of Mirrors6.34.5/556 Reviewsbased on 3.3k reviewNo. 3 of Top Best Things to Do in VersaillesPalacesCastlesHistorical ArchitecturesPopular SpotsTravel.poodieThe most famous attraction in Palace of Versailles. The hall is made by more than 300 mirrors, and the rooftop have various beautiful paintings.France · Dampierres-en-Yvelines",https://my.trip.com/travel-guide/attraction/versailles/hall-of-mirrors-34268835/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Hall of Mirrors,"The Hall of Mirrors is the hall of the Palace of Versailles, with 17 huge floor-to-ceiling glass windows facing the garden on one side, and a huge mirror composed of more than 400 mirrors on the other. The floor of the hall is carved wood, the walls are decorated with lavender and white marble veneer, and the columns are green marble. The capitals, bases and parapets are all gilded brass, and the motif of the decorative motif is the sun with its wings spread out in homage to Louis XIV."
1702448813-2,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 10:0069. Big Bus6.34.4/515 Reviewsbased on 7.2k reviewBus Tours鲁西LucyTake the Big Bus first and turn all the attractions around. Then get off at one of the most favorite places, have enough fun and go to the BigBus to another favorite attraction. Very convenient and fast!France · Paris",https://my.trip.com/travel-guide/attraction/paris/big-bus-18274745/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Big Bus,"Explore the city's sights at your own pace with this free hop-on bus tour of Paris. Enjoy Paris sightseeing tours and discover the Eiffel Tower, the historic sites of the Louvre, the impressive Arc de Triomphe and more. This unique city tour includes over 50 Paris tourist attractions. Experience beautiful avenues, stunning architecture and picturesque views on an open-air bus ride. Hop on and off the bus at your leisure and customize your city tour. The tour includes an informative and entertaining guided tour that guides you through the city."
1702448822-3,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,"68. Grand Palais6.34.6/5172 Reviewsbased on 2.3k reviewNo. 6 of Top Must-Visit Museums in ParisPalacesMuseumsPopular SpotsMonumentsbhdmfvjThe Grand Palace of Paris, built in 1900, was originally for the World's Fair in 1900), what else do you know about the Grand Palace? 1. The Grand Palace of Paris is 121 years old this year. 2. The Grand Palace was built in 3 years. 3. The spire of the Grand Palace has the first floor of the Eiffel Tower. So high. After the World Expo in 4.1900, the Grand Palace became the cultural and economic exhibition center in Paris. 5.1905 the Fall Art Expo in the Grand Palace in 5.1905 produced the Fauvism. 6. The Grand Palace was requisitioned as a hospital during World War I. 7. The Grand Palace was burned down during the liberation war in Paris in World War II. In8.1960, the architect Le Corlbusier redesigned the restoration of the Grand Palace.France · Paris",https://my.trip.com/travel-guide/attraction/paris/grand-palais-78780/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Grand Palais,"Located on the Champs-Elysees, the Grand Palais was built to welcome the International Exposition in Paris in 1900, with Place de la Concorde to the east, the Arc de Triomphe to the west, and the beautiful Pont Alexander III on the Seine to the south. The Grand Palace was once closed for renovation and reopened in 2005, mainly for short-term major cultural events such as art exhibitions and fashion shows. There are two-story ring corridors around the hall, leading to 58 exhibition halls. The Antique Biennale, held every September in even-numbered years, has been held in the reopened Grand Palais since 2006. Since its inception in 1956, this exhibition has been successfully held for 22 times, and the six times before 2006 were held in the Louvre. The west wing of the building is the Palace of Discovery. The Palace of Discovery was established in 1937 with the goal of giving people a grasp of the methods of scientific research. Visitors can conduct their own science experiments and learn about the fundamentals of physics, chemistry, biology, astronomy, medicine and information technology."
1702448832-4,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,"67. Lake Annecy6.44.7/599 Reviewsbased on 7k reviewNo. 2 of Top Best Things to Do in AnnecyLakes老二连Lake Anasi is known as the clearest lake in Europe due to strict environmental management measures implemented in the 1960s. Lake Anasi is famous for its water recreation and entertainment activities and has become the most popular tourist destination. Lake Anasi was formed during the melting of the Alpine glaciers before 18,000 years ago. Many small rivers originating in the surrounding mountains stretched for more than ten kilometers to inject Lake Anasi, which provided ample water for Lake Anasi. A stroll by Lake Anasi, or a boat ride in the lake, and a look out over the rolling Alps in the distance is undoubtedly a joy. French enlightenment thinker Rousseau had spent the ""best 12 years"" of his life in Anasi.France · Rhone-AlpesFree",https://my.trip.com/travel-guide/attraction/annecy/lake-annecy-18515747/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Lake Annecy,"Lake Annecy is located in Haute-Savoie, France, at the foot of the Alps, and is second only to Lake LacduBourget in France. Due to strict environmental management measures implemented in the 1960s, Lake Annecy is known as the clear lake in Europe. Lake Annecy has become a popular tourist destination for its famous water recreational activities. Lake Annecy was formed 18,000 years ago during the melting of Alpine glaciers. Many small rivers originating from the surrounding mountains stretch for more than ten kilometers into Lake Annecy, which provides sufficient water for Lake Annecy. Walking and cycling on the shore of Lake Annecy, or swimming and boating in the lake, overlooking the rolling Alps in the distance, is undoubtedly one of life's great joys. The French Enlightenment thinker Rousseau once spent ""the good 12 years"" of his life in Annecy."
1702448841-5,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 10:0066. Hôtel de Ville6.44.6/5232 Reviewsbased on 1.6k reviewOne of the Top Amazing Nighttime Views in ParisCity HallsPopular Spots老二连The Paris City Hall building, located on the banks of the Seine, north of Notre Dame in the centre of Paris, was rebuilt after the original building was burned down in May 1871 and completed by Baruch and De Pert in 1882. This building was once a major political venue in France, the center of major historical events during the Middle Ages, the Bourgeois Revolution and the Paris Commune in 1871. It is a famous Renaissance-style building in France. Located on the north bank of the Seine in Paris city. Designed by famous Italian architect Baugador, construction began in 1533, named Bocador, and built in 1628. Before 1803, the square of the Paris City Hall was called ""Beach Square""; in 1871, it was burned during the uprising of the Paris Commune; and it was not until 1882 that the new Paris City Hall was restored. The restored shape basically maintained the Renaissance style, and the interior decoration had 19th century artistic characteristics. The City Hall building has many benchtop structures with flat-topped pyramid-shaped roofs and 136 statues on the walls of the building, all of France's celebrities.France · ParisFree",https://my.trip.com/travel-guide/attraction/paris/htel-de-ville-78781/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Hôtel de Ville,"The Hotel de Ville was finished in 1628, nearly a century after construction began. Currently, it houses the City of Paris's administration. The building's style is a contemporary interpretation of the Renaissance, a grand building sitting just a few minutes from the Seine. The regal inside includes crystal chandeliers and extravagant paintings. Its exterior is equally stunning, particularly at night, when the building shines with light."
1702448850-6,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,Open at 09:0065. Van Gogh Cafe (Cafe La Nuit)6.44.4/570 Reviewsbased on 794 reviewNo. 15 of Top Best Things to Do in Provence-Alpes-Cote d'AzurHistorical Architectures小思文Van Gogh Cafe is the most famous place here to taste coffee and relax chat. There are many seats to choose from. The cafe is quite large. You can feel some of the local food culture very well. You can be outdoors in summer.France · Bouches-du-Rhone,https://my.trip.com/travel-guide/attraction/arles/van-gogh-cafe-18692705/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Van Gogh Cafe (Cafe La Nuit),"Because Van Gogh created a lot of works closely related to this small town during the years he lived in Arles, many buildings here have become attractions to commemorate the painter, and the Van Gogh Cafe is one of them. This is the location where Van Gogh's famous painting ""Cafe at Night"" was filmed, and it still retains the exact same appearance as the painting back then. Although it is still a cafe, because it is an attraction in itself, its consumption is not low. If you want to drink a cup of coffee here, you still have to have a sufficient budget to prepare."
1702448860-7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,"64. Parc du Champ de Mars6.44.6/5158 Reviewsbased on 1.4k reviewNo. 4 of Top Great Urban Parks in ParisCity ParksPopular Spots老二连The Plaza de Mars is now known as the ""March Square Park"" in Paris, which is probably the 100th anniversary of the completion of the Eiffel Tower on 31 March 1989, and the 100th anniversary of the Paris World Expo in 1889, and to adapt to the needs of the world's people for world peace and the fight against terrorism, Also to adapt to the surrounding environment requirements. Near March Square Park are UNESCO Building, the World Economic Cooperation Development Agency; the National Assembly Building, the Ministry of Foreign Affairs, the Ministry of Foreign Trade, the Ministry of Industry and other world organizations and state organs. March Square Park makes people nostalgic for the history of the Eiffel Tower and the World's Fair, which symbolize world peace.France · ParisFree",https://my.trip.com/travel-guide/attraction/paris/parc-du-champ-de-mars-89069/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Parc du Champ de Mars,"Champ de Mars is a vast strip park located in the 7th arrondissement of Paris, France, between the Eiffel Tower and the Paris Military Academy. It was also the venue for events such as the Universal Exposition, the 1900 Olympics, and open-air concerts. It is separated by the Eiffel Tower from the Chau Palace, and the whole is like a background painting. The name of the park comes from the Roman Forum, ""Mars"" in French is the so-called god of war in Roman theology. Historical background Until the 17th century, the park was the site of early potato cultivation in Paris. By the middle of the 18th century, a military school for training soldiers was established here. This vast land has become the training ground of the military school, that is, the military training ground. During the French Revolution, there were also massacres and bloodshed here. Experience the romance of Paris Now this is where many locals and tourists picnic and stroll. The French will sit or lie on the lawn in various poses to rest and bask in the sun. Children will play football there. Couples will sit on the grass and talk about love. It can be said that this is the place to experience the romance of Paris. A good place for emotions. Various concerts are also held regularly in the park. It's also a great place to take photos with the Eiffel Tower. Standing in front of the Champ de Mars, the tower looks great from any angle, against the green grass and the surrounding manicured trees. In addition, the Champ de Mars at night is also more shining because of the Eiffel Tower, and many photography enthusiasts will also come here to shoot the night view of the Eiffel Tower."
1702448869-8,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,"63. Ile de la Cite6.44.7/5147 Reviewsbased on 5.3k reviewNo. 1 of Top Beaches in ParisIslands/PeninsulasBeaches徐徐霞客RrParis, France, is one of two islands located in the Seine in the center of Paris, France (the other is Saint-Louis), is also the birthplace of the city of Paris, the famous Notre Dame and Saint Chapelle are located on the island.France · ParisFree",https://my.trip.com/travel-guide/attraction/paris/ile-de-la-cite-82291/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Ile de la Cite,"Ile de la Cité is one of the two islands located in the Seine River in Paris, France (the other is Ile Saint-Louis). It is the geographical middle of Paris and the historical birthplace of Paris. The famous Notre Dame Cathedral, Sainte-Chapelle and Conciergerie are all located on the island. Attractions on Xidai Island If you take the subway to Xidai Island, the subway entrance is on the north side of the island, and you can see the Paris Court and the Paris Prison not far away. Visitors with a pass can consider entering the prison. Opposite the ancient prison is the Sainte-Chapelle. Although this Gothic building is small as a whole, it has a unique beauty of tranquility. The interior decoration is very delicate, the stained glass on the second floor is more exquisite than Notre Dame Cathedral. When the light came in from the window, the ground was covered with beautiful large spots of light. Visitors with a pass can enter directly without queuing. After leaving Sainte-Chapelle, you can go straight to Notre-Dame Cathedral. Most of the tourists who come to Xidai Island come to the famous Notre-Dame Cathedral, which is famous for its Gothic architectural style, carvings and paintings on the altar, cloister, doors and windows, etc. Famous for a large number of art treasures from the 13th to 17th centuries, there are many people queuing up to the top. Although the stairs to the bell tower have 400 floors, and walking is very labor-intensive, the scenery you see after waiting for 2-3 hours in peak season is still Make you feel worthwhile. Many people say that the clock tower during the day and the Eiffel Tower at night are what you must experience. On the other side of the Seine, the Paris City Hall and Notre Dame are across the river. On the small square in front of Notre Dame, a passage and a high stand were erected, and the steps were always full of people, enjoying the performances of the artists."
1702448879-9,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,"62. Palace of Festivals and Congresses of Cannes6.54.5/5115 Reviewsbased on 859 reviewNo. 14 of Top Best Things to Do in Provence-Alpes-Cote d'AzurPopular SpotsTheatersCinemasExhibition HallsStadiums小鱼儿2015Cannes is also a small city suitable for tourism. This location is also one of the good places to hold a film festival. Every time the film festival meets, it is very popular. There are quite a lot of film projects here.France · Alpes-MaritimesFree",https://my.trip.com/travel-guide/attraction/cannes/palace-of-festivals-and-congresses-of-cannes-10758278/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Palace of Festivals and Congresses of Cannes,"The Palais des Festivals (Palais des Festivals de Cannes) was built in 1982 and is an important meeting place for the Cannes Film Festival. The Palais des Festivals has a capacity of 30,000 people, excellent sound facilities, and besides being the official venue of the festival, it also contains many business conference halls. It is said that the carpet on the steps of the Palais des Festivals is red only when there is an event, and blue at other times. So if you come across a festival, don't forget to take pictures on the steps covered with red carpets to experience the taste of being a star. Visitors still have a better chance of seeing a red carpet than a blue one, as the Palais des Festivals is not idle for most of the year. Every year, there is the Acacia Festival in February, the International Film Festival in May, and the Music Festival and Fireworks Festival in July. In addition, there are fixed festivals such as the International Boat Festival, the International Music and Record Festival, the Mimosa Festival, and the Dance Festival. Under such a dense schedule, if you want to use the Palais des Festivals, you need to book two years in advance."
1702448889-10,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/?locale=en-MY&curr=MYR,61. Chamonix6.54.6/578 ReviewsNo. 1 of Top Best Things to Do in Chamonix-Mont-BlancTownsSnow Mountains_TS***lmAccessible and best to reach from Geneva airport via bus is this tiny hidden valley of chamonix. safe for solo travellersFrance · Rhone-AlpesFree,https://my.trip.com/travel-guide/attraction/chamonix-mont-blanc/chamonix-10547797/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/france-100024/tourist-attractions/7.html/,Chamonix,"Chamonix is surrounded by the stunning French Alps, which bear a striking resemblance to the Himalayas: deep-cracked glaciers stretch from the snow-covered summit of Mont Blanc to the valley floor 4.8 kilometers apart. Due to the local special geographical environment, Chamonix has become a paradise for many snow sports lovers. In 1924, the first Winter Olympics were held here. Now, with the passion of snow sports, Chamonix has become a famous tourist city in France, bringing many tourists unexpected happiness and comfort."
