web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Place,Details
"1702438105-1","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","50. Tegenungan Waterfall4.94.1/517 Reviewsbased on 4.8k reviewWaterfallsAttractionsPopular SpotsDChongCost 20k to enter but well worth it!!! You can swim near the waterfall but you can swim down the river.Available TomorrowIndonesia · BaliFrom RM 215.42","https://my.trip.com/travel-guide/attraction/bali/tegenungan-waterfall-22847234/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Tegenungan Waterfall","The forest waterfall viewing is located in the dense jungle above the shallow bathing area. The waterfall is surrounded by green vegetation, the sun is pouring down, and the water flow and the mist are integrated, which is indescribably beautiful, like a dream. Although the vertical height of the waterfall is not too high, the waterfall is surrounded by jungles, and the flowing water pours down from the rocks on the top of the mountain, which is delicate and cool. The roots and vines on the top of the mountain descend along the rocks, resting on the stones full of green moss, and the shadows of the leaves cast on the waterfall, which is like a paradise."
"1702438114-2","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","49. Kelingking Beach Nusa Penida4.94.6/543 Reviewsbased on 1.6k reviewNo. 5 of Top Instagram-Worthy Locations in BaliPopular SpotsBeachesGiny2002Hike down to the beach would take around 45min. It is a step flight of steps. The colour of the ocean is pretty! We saw two manta swimming in the ocean too!Indonesia · BaliFree","https://my.trip.com/travel-guide/attraction/bali/kelingking-beach-nusa-penida-55798312/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Kelingking Beach Nusa Penida","Elf Beach is a very worthy place to overlook the sea in Bali. It looks like a big dinosaur from the air. The winding and towering cliffs, the rock formations shaped like dinosaurs, and the blue water from shallow to deep are enough to marvel at the magic of nature. The vegetation extends from the mountains to the sea, standing on the edge of the cliff, as if it has contracted the entire coast."
"1702438123-3","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","48. Denpasar5.04.4/5109 ReviewsAly Jthe capital city of Bali where you can enjoy their museum, parks and market. it is so crowded in this area and expect the heavy traffic when going to DenpasarIndonesia · BaliFree","https://my.trip.com/travel-guide/attraction/bali/denpasar-10354716/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Denpasar","Also known as ""Batang"", it is located in the southern seaport of Bali, Indonesia. It is the capital of Bali, the largest city and commercial center on the island, and a famous tourist destination in Indonesia. The ancient and modern Denpasar can be called the kingdom of volcanoes and tea plantations. It combines a strong religious atmosphere with a modern style. Especially in the urban architectural style, it reflects the unique charm of Bali. If you want to understand the life of the local people, you can go to the traditional market. There are traditional large markets on both sides of the Padong River. The right bank of the river sells daily necessities, fabrics and handmade rattan baskets, while the left bank sells All kinds of fruit thinning and spices. The Denpasar market has a dazzling array of goods, high quality and low prices, which will definitely make you addicted to shopping. There are also many museums with collections of art treasures and various Hindu monasteries, making this tourist city full of charm."
"1702438133-4","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","47. Sanur5.04.5/5132 Reviewsbased on 8.3k reviewNo. 8 of Top Beaches in BaliBeachesAly JBeach lovers, this beach is a must to visit if you're planning to go to Bali for your vacation, there are various activities you can enjoy like Island hopping, surfing and many more.Indonesia · BaliFree","https://my.trip.com/travel-guide/attraction/bali/sanur-82481/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Sanur","For tourists who like tranquility, leisure and elegance, Sanur is a better choice. It is a good place to watch the beautiful sunrise in Bali. Its nightlife is also very colorful. At dusk, you can see the lively Disco Live performances in the ballroom and Pub, as well as authentic Balinese indigenous dances. Beach Introduction Sanur Beach Sanur consists of several small beaches connected together with a quiet atmosphere. When the morning sun rises, there are often locals and tourists jogging on the flagstone road. Originally a small village by the sea, it was one of the first resort areas established in Bali after half a century of tourism boom. Nonetheless, it still holds its mark on this history well, and its laid-back vibe hasn't changed since the beginning. The more laid-back atmosphere here compared to Kuta and Legian also attracts a different group of tourists. Beach Activities The sea here is clean and suitable for snorkeling and diving, but the facilities are relatively old. Sanur is also a marina and there are many boats departing to Lembongan and Lombok. The consumption level of Sanur Beach is slightly lower than that of Kuta, and the nightlife is rich and colorful. At dusk, there are many lively Disco dance halls and Pub live singing. In addition, you can also enjoy the authentic indigenous dance of Bali."
"1702438143-5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","46. Tulamben5.14.5/5106 ReviewsNo. 4 of Top Spectacular Underwater Scenery in BaliOutdoor DivingSeashoresD29***86tulamben is best location for scuba diving activity,most famouse dive site is liberty wreck,  queen guest house is very good accomodation in tulamben with very competive price, in house has very clean swiming pool , share kitchen , and especial the hostes is very fluen in english and very friendlyIndonesia · Bali","https://my.trip.com/travel-guide/attraction/bali/tulamben-82484/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Tulamben","Tulamben has no sandy beaches, only cobble-covered bays, but it is a paradise for divers. The water here is gentle, the water is clear, and the visibility is high, making it ideal for deep diving. If you want to dive, you don't even need to go out to sea, you can dive right from the shore. In addition, it used to be the sinking point of warships. The LibertyWreck is a wreck of the U.S. Navy during World War II. It was built in 1918 and is buckled on the seabed in an inverted trapezoid shape. It is 120 meters long and 16 meters high. The cannons, warehouses and rudders at that time are well preserved. Today, the wreck is only 40 meters away from the shore, and the shallower stern part is only 3 meters deep. This means you don't have to go out to sea in a boat to see this magnificent sight. Dive site introduction DropOff: next to the prominent reefs on the coast. PalungPalung: Here you have to take a boat around to the back of the raised reef. There are pygmy seahorses, and there are also pairs of red Gobby and a lot of Jawfish hiding in the hole. CleaningStation: There are two cleaning stations, this one is in the sand at 27 meters deep, and the other is in Coral Garden, 21 meters, where there are many cleaning shrimps. Seraya: Has Harley Shrimp Ho Rainboweel. Kubu: Opposite to Seraya, another village within 10 minutes' drive away, there are many staghorn corals underwater."
"1702438152-6","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","Open at 12:0045. Mt Batur5.14.5/581 Reviewsbased on 3.2k reviewVolcanoesJanine WillAbsolutely worth it. We did a sunset tour, pickup at the hotel at 2.30 am, started hiking at 4.30. Quite exhausting as we had to rush a bit, but the views are amazing.Available TomorrowIndonesia · BaliFrom RM 304.40","https://my.trip.com/travel-guide/attraction/bali/mt-batur-83102/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Mt Batur","Although not the number one volcano, Mount Batur and Lake Batur are one of the symbols of Bali. In 1917, Mount Batur erupted, destroying countless shrines and villages, and ancient lava deposits can still be clearly seen around the volcano. The volcanic ash scattered across the island after the eruption brought mineral-rich soil, and the mountains also blocked the moisture-rich clouds from the Indian Ocean, resulting in abundant rainfall, all of which gave islanders a bumper harvest. In addition, Lake Batur (Lake Batur) is nestled next to Batur Volcano, and it is often surrounded by clouds and mists, and it is beautiful. The landform here is like a huge bowl, its lower half is full of water, and many volcanic cones burst out of the water from the center, all of which make people sigh at the magic of nature."
"1702438161-7","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","44. Istiqlal Mosque5.24.5/5161 Reviewsbased on 2.7k reviewNo. 4 of Top Best Things to Do in Central JakartaMosquesPopular Spots_We***57The big mosque in Indonesia. The design of this building made by cristiani people. Indonesia have more culture, we called is Bhineka tungggal ikaIndonesia · JakartaFree","https://my.trip.com/travel-guide/attraction/central-jakarta/istiqlal-mosque-82410/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Istiqlal Mosque","Located in the northeast of Independence Square, it is a well-known mosque in Southeast Asia. It was established by the Indonesian government in 1984 to commemorate Indonesia's independence and thank God for his blessings to Indonesia. The mosque was named ""Istiqlal"", which means ""independence"" in Arabic. The main building of the mosque is a central worship hall covered by a large white dome with a diameter of 45 meters, which is very eye-catching from the outside. Surrounding the hall is a 5-story annex, the entire building is paved with marble, of which there are 4,400 marble columns alone. During the festival, the mosque can accommodate 120,000 people to worship at the same time, and the prayer scene is very spectacular. Major Islamic activities and ceremonies in Indonesia are held here, and Indonesian President and government dignitaries often come to worship here."
"1702438170-8","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","43. Lombok Island5.24.4/5109 ReviewsNo. 1 of Top Best Things to Do in West Nusa TenggaraIslands/PeninsulasBeaches喜欢猫的虎Lombok is across the sea from Bali, east of Bali. It is called the ""back garden of Western tourists"" but there are very few Chinese tourists. Lombok is almost as big as Bali. The island also has beautiful beaches and steep volcanoes, but the development level is far lower than Bali, and the play facilities are relatively backward. But it is very quiet and more original. Visitors who enjoy outdoor sports and have plenty of time can come here for more in-depth play. Indonesia · LombokFree","https://my.trip.com/travel-guide/attraction/muncan/lombok-island-92655/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Lombok Island","Lombok is an island in the small sunda archipelago of Indonesia. It is home to Indonesia's famous mountain, the linjani volcano, which is 3726 meters above sea level. The clear blue water and the white sandy beach constitute the beautiful seaside scenery of lombok island. Besides, it is a good place to see a variety of Australian plants and animals and to appreciate the unique traditional customs and culture of the sasak people."
"1702438179-9","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","42. Gunung Ijen5.24.7/579 Reviewsbased on 2.9k reviewNo. 1 of Top Best Things to Do in East JavaVolcanoesBobbob_xpA Mount Ijen blue fire trip is a captivating and otherworldly adventure that takes you to the heart of East Java, Indonesia. Here's what makes this journey to Mount Ijen's blue fire truly remarkable:1. The Enigmatic Blue Fire: The main attraction of Mount Ijen is its mesmerizing blue fire, a natural phenomenon caused by the combustion of sulfuric gases. Witnessing this eerie blue glow in the darkness of night is a surreal and unforgettable experience.2. Challenging Hike: To reach the blue fire, you'll embark on a challenging hike that usually starts in the early hours of the morning. The steep ascent can be demanding, but the reward of witnessing the blue flames is well worth the effort.3. Ijen Crater Lake: As you reach the rim of the crater, you'll be greeted by the sight of Ijen's turquoise-colored crater lake. This stunningly acidic lake is one of the world's largest, and its unique color contrasts beautifully with the rugged landscape.4. Sulfur Miners: Along the trail, you'll encounter the incredibly tough sulfur miners who work in the harsh conditions of Mount Ijen. These laborers extract chunks of sulfur from the volcano and carry heavy loads down the steep slopes, offering a glimpse into their challenging way of life.5. Sunrise Spectacle: Timing your visit to coincide with sunrise is a must. Watching the first light of day illuminate the crater, lake, and surrounding mountains creates a breathtaking panorama that photographers and nature enthusiasts will cherish.6. Volcanic Scenery: The entire journey to Mount Ijen is a visual feast. You'll pass through lush forests, volcanic rocks, and rugged terrain, making it a perfect opportunity for nature lovers and adventure seekers.7. Safety Considerations: Due to the presence of toxic sulfuric gases, it's important to take safety precautions during your visit. Wearing a gas mask provided by your guide is essential to protect yourself from inhaling harmful fumes.Indonesia · Sempol","https://my.trip.com/travel-guide/attraction/kalianyar/gunung-ijen-10354719/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Gunung Ijen","Ijen Volcano is located in the east of Java Island, Indonesia. There is a crater lake about 1 km wide. The crater is famous for its rich sulfur and is now a famous tourist destination."
"1702438188-10","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/?locale=en-MY&curr=MYR","41. Tanjung Benoa5.24.3/5217 ReviewsNo. 6 of Top Spectacular Underwater Scenery in BaliWater SportsBeachesDwi Quoinexperfect place for water sports lovers. Here, we can enjoy various activities such as snorkeling, jet skiing, parasailing, banana boat, and many more.Indonesia · BaliFree","https://my.trip.com/travel-guide/attraction/bali/tanjung-benoa-10558786/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/indonesia-100045/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Tanjung Benoa","Taniung Benoa, known colloquially at South Bay, is famous for its water sport culture and aquatic activities. The Bay's reefs block surging tides, meaning the waves reaching the shore remain relatively calm. This natural protective barrier makes swimming and water sports comparatively safer. Attractions include the new Flying Fish, an exciting rocket experience, and a panoramic view of Bali from the high-altitude towering umbrella. Visitors can also charter out to sea to watch sea turtles, or visit the small fishing village to the north."
