web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Country,Place,Details
1702446097-1,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"Closed at 16:30470. Ueno Toshogu Shrine4.04.4/5126 Reviewsbased on 533 reviewOther Places of WorshipTemplesPopular Spots游侠半仙Ueno Dongzhao Palace, built in 1627 and built in 1651, is a designated important cultural treasure by the Japanese state (may be equivalent to China's key cultural relics protection units).Japan · TokyoFree",https://my.trip.com/travel-guide/attraction/tokyo/ueno-toshogu-shrine-22847539/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,Ueno Toshogu Shrine,"Ueno Tosho-gu is a prominent Shinto shrine located in Tokyo’s Taito ward. First established in 1627 and later renovated in 1651, the shrine has remained mostly intact since, making it a great example of Shinto architecture in the Edo period. The shrine utilizes ornate gold and decorative wood carving characterizing of traditional Japanese design. The major gates, pillars, and halls are all quite eye-catching and provide excellent backdrops for photographs. As the shrine complex is located within Ueno Park, it is great to combine with visits to nearby Akihabara or Asakusa."
1702446106-2,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"469. Shinobazu Pond4.04.4/5136 Reviewsbased on 507 reviewNo. 12 of Top Nature Attractions in TokyoAttractionsPopular SpotsLakesCity Parks游侠半仙Can't bear the pool is located in the West District of Tokyo Ueno Zoo. Next to the pool is the famous wild panda in Sichuan, China. Can't bear the life of the pool as a variety of wild birds, free and comfortable. [View] A wetland ecological park in Tokyo Ueno Zoo. [Interesting] Learn about wild birds. [Cost-effective] high.Japan · TokyoFree",https://my.trip.com/travel-guide/attraction/tokyo/shinobazu-pond-95028/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,Shinobazu Pond,"Shinobu Pond is located in Ueno Park. In the center of the pond, there is a ""Bentian"" dedicated to the goddess of eloquence. There are many birds such as ducks and pelicans. There are large lotus flowers growing in the pond. In summer, the entire pond surface is covered with lotus flowers. In case of rain, the heavy green in the drizzle and the water droplets on the lotus leaves add a dynamic vitality. In spring, you can see cherry blossoms in full bloom. Although the lake is not big, you can enjoy the pleasure of boating, and the water concert hall often holds various performances such as concerts. The origin of the name is engraved on the stone tablet of Shinobu Pond: In the past, the place between Ueno and Hongo Terrace was called ""Ninja Hill"". There is a building in the distance of Shinobi Pond. It is said to be an earlier high-rise building complex in Tokyo. It is a product left when Japan's economy took off. Together with Shinobi Pond, it is also a charming picture."
1702446118-3,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"468. Kagoshima City Aquarium4.04.6/544 Reviewsbased on 387 reviewNo. 3 of Top Best Things to Do in KagoshimaAquariumsshashashashaBeing next to the pier to Sakurajima, Kagoshima aquarium worths a visit, you can look at the Volcano and different types of sea creaturesJapan · Kagoshima",https://my.trip.com/travel-guide/attraction/kagoshima/kagoshima-city-aquarium-18105492/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,Kagoshima City Aquarium,"Kagoshima has a huge current called the ""Kuroshio"", which brings whale sharks, bonito, tuna and other fish downstream. Coral reefs are well developed around the ""Southwest Islands"", an archipelago stretching from Yakushima, Tanegashima to Yoron Island. Kagoshima aquariums are displayed under the themes of ""Kuroshio Sea"", ""Southwest Islands Sea"" on the 2nd floor, and ""Kagoshima Sea"" centered on Jinjiang Bay on the 4th floor."
1702446127-4,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"467. Senjojiki Rock Plateau4.04.6/544 Reviewsbased on 579 reviewNo. 3 of Top Best Things to Do in ShirahamaGeological SitesAttractionsObservation DecksPopular SpotslienajiejieVery close to the three-section wall scenic spot, suitable for a line of tourism. There are not many tourists, the scenery is pleasant, and it is also a niche tourist attraction. The thousands of stacks of rocks are the strange rock landscape formed after the impact of the sea for several years. You can imagine that the sea and the sky are the same color, sparkling, and beautiful.Japan · Nishimuro DistrictFree",https://my.trip.com/travel-guide/attraction/shirahama/senjojiki-rock-plateau-24652166/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,Senjojiki Rock Plateau,"Senjojiki is a rock plate formed by the sandstone of Neogene. Since sandstone is a rock solidified from sand, it is very soft in texture. After being eroded by waves over the years, it finally formed the complex and unique landscape today. The ""stack"" of the thousand joeski is pronounced as ""tatami"" in Japanese, and ""fu"" means to spread. So Senjojiki means to spread 1,000 tatami mats on the ground. The rock plate is about 4 hectares in size, enough to hold 1,000 tatami mats, hence the name. Senjojiki, Sandanbi and Engetsu Island are also well-known sightseeing spots in Shirahama Town. Coincidentally, the coast where Melaleuca is located belongs to the west coast, so it is naturally a good choice for watching the sunset. Standing on a flat rock plate and watching the fiery red sun slowly sink into the vast Pacific Ocean, it has been a place of interest since ancient times."
1702446135-5,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"466. The Flying Snoopy4.04.6/516 ReviewsNo. 12 of Top Family-friendly Attractions in OsakaOther ExperiencesAmusement Parks过年不回家The park where the children play is very popular and completely beyond my imagination. The children are so happy to come and play. The family with children is really crazy, and the children like it very much.Japan · OsakaFree",https://my.trip.com/travel-guide/attraction/osaka/the-flying-snoopy-39964246/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,The Flying Snoopy,"Flyingsnoopy is in a corner of Universal Studios Osaka, next to Harry Potter. It is a cute park with Snoopy as the theme and decoration. There is a merry-go-round in it, which is very suitable for children to play."
1702446145-6,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"Closed at 16:00465. Ujikami Shrine4.04.4/577 Reviewsbased on 369 reviewNo. 2 of Top Important Religious Institutions in UjiTemplescparisshThis color is very beautiful, just like a park, there is a small lake, the lake is also very clean, and I was surprised to see a snowy crane next to it. GreatJapan · UjiFree",https://my.trip.com/travel-guide/attraction/uji/ujikami-shrine-92902/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,Ujikami Shrine,"Ujigami Shrine is located on the north side of Uji Shrine. It is an ancient shrine in Japan. According to research, it was founded in the Heian period. The main hall of the shrine is listed as a national treasure of Japan. There is also a spring in the Ujigami Shrine, called Kirihara Water, which is one of the seven famous waters of Uji in ancient times, and it is also an existing ancient famous spring. The worship hall built in the Kamakura period in the shrine is an important cultural relic of Japan."
1702446154-7,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,464. Maruyama Park4.04.5/592 Reviewsbased on 681 reviewNo. 4 of Top Nature Attractions in KyotoCity ParksPopular SpotsLMOOLMVisit in spring for the famous weeping cherry blossom tree. Good to come here in the late afternoon so you can see the tree under daylight and also under lightup. Near to gion so you can continue on to gion after here!Japan · KyotoFree,https://my.trip.com/travel-guide/attraction/kyoto/maruyama-park-10558701/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,Maruyama Park,"Yuanshan Park was built in 1886, which is an earlier park. Located on the east side of Yasaka Shrine, it covers an area of about 90,000 square meters. In the circle, there is a swimming pool and spring courtyard as the central area, surrounded by snack bars and tea houses. It is a well-known cherry blossom viewing area in Kyoto, with beautiful scenery all year round. The ""weeping cherry"" trees are more than 200 years old and are a precious variety of cherry blossoms. ""Night Cherry Blossoms in Diyuan"" is a program during the flower viewing season, and the park is designated as a scenic spot for this reason. Every summer Saturday, the Field Music Hall has a special concert."
1702446163-8,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"463. Takachiho Gorge4.14.6/546 Reviewsbased on 1.2k reviewNo. 2 of Top Best Things to Do in Miyazaki PrefectureCanyonsKaFai0903It was more than 10 am to drive to Takachisui Gorge in August. The parking lot was full. It was necessary to go to the fourth parking lot to have a vacancy. Then go from the parking lot to the bridge. It took about 30 minutes to walk. The scenery along the way was beautiful. Although the sun was very fierce, there was a breeze along the road and it was not too hot. This day you can enjoy the beautiful scenery of nature, it is really refreshing.Japan · Nishiusuki DistrictFree",https://my.trip.com/travel-guide/attraction/takachiho/takachiho-gorge-90533/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,Takachiho Gorge,"Many magnificent natural scenery and ancient shrines can be seen in Takachiho, full of mythical world-like mystery. One of the most popular spots is Takachiho Gorge! The V-shaped canyon formed by the erosion of the Aso lava by the Gouse River, some of the cliffs are even more than 100 meters high. You can also rent a boat and go down the river to observe the beautiful ""Manai Falls"" up close. In spring and early summer, mountain cherry blossoms, rhododendrons, and wisteria bloom on the cliffs; in autumn, there are gorgeous red leaves; in winter, it transforms into a world of ice. There are different views in the four seasons."
1702446172-9,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"462. Asari4.14.7/586 ReviewsNo. 8 of Top Best Things to Do in OtaruTownsVillages五季❤️影On the way to Xiaoyan, many people will choose to get off in the direction and feel the beautiful scenery of the sea. The sea is very cold in winter and the wind is super strong, but with the blue sea, under the snow, there are trains passing by from time to time, and the Japanese atmosphere is full.Japan · OtaruFree",https://my.trip.com/travel-guide/attraction/otaru/asari-23908721/?locale=en-MY&curr=MYR,47,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/47.html/,Japan,Asari,"Asari is located in Otaru City, Hokkaido. It faces the sea and has beautiful scenery. If you are not in a hurry, you can get off at Asari Station and walk to the beach to blow the wind. You will feel very comfortable. There is a bathing beach in Chaoli, which is open every summer. Many locals come here to walk, play in the water, bask in the sun, and enjoy a leisurely and quiet life. In autumn, you can climb Mount Chaoli and watch the red leaves all over the mountain."
1702446197-11,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/?locale=en-MY&curr=MYR,"50. Oshino Hakkai6.14.5/5610 Reviewsbased on 914 reviewNo. 3 of Top Best Things to Do in Yamanashi PrefectureAttractionsPopular SpotsPondsalis in the wonderlanda beautiful place crowded with tourists,  you can buy a lot of standard japanese souvenirs here.  you also can pay a fee to go inside a building to see the inverse shawdow of fuji mountain.  the colorful fish are also attractive.Japan · Minamitsuru DistrictFree",https://my.trip.com/travel-guide/attraction/oshino/oshino-hakkai-90129/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/japan-100041/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Japan,Oshino Hakkai,"Oshino Hakkai is located in Oshino Village between Yamanaka Lake and Kawaguchi Lake in Yamanashi Prefecture. It is a group of springs that originated from the melting snow of Mount Fuji more than 1,200 years ago. It is dotted with eight small ponds with clear springs, namely Yufu Pond, Bottomless Pond, Choshi Pond, Zhuo Pond, Yong Pond, Mirror Pond, Acorus Pond, and Exit Pond. In 2013, it was listed in the world as a constituent asset of Mount Fuji. cultural heritage. Tourists generally visit Mount Fuji first and then come to Oshino Village on their return journey. Because of the fame of Mount Fuji, more and more tourists come to visit Oshino Hakkai. These spring pools are almost 8-10 meters deep and crystal clear. There are all kinds of fish swimming in the pools, reflecting the surrounding flowers and trees. The scenery is natural and exquisite, very beautiful. And it's also a great place to watch and photograph Mount Fuji. The average water temperature of the spring water in Oshino Hakkai is about 13°C. The water is clear and sweet, and it is drinkable. There are generally free self-service drinking points next to the pool. You can taste it or buy bottled ones in the souvenir shop attached take away. There is also a famous specialty here - tofu brewed with spring water, which can be eaten raw with dipping sauce, you must try it. It is also very comfortable to stroll around in this simple and simple village, with old houses with a strong Japanese style and small shops selling natural food. If you want to dine here, we recommend udon noodles and soba noodles, which taste good and are reasonably priced. In addition, the grass cakes that can be seen everywhere and the coffee brewed with spring water are also very special."
