web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Country,Place,Details
1702394805-1,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 10:0080. 3D Black Art3.44.6/569 Reviewsbased on 221 reviewNo. 9 of Top Museums & Galleries in SeoulOptical Illusion MuseumsFine Art GalleriesPopular SpotsE20***63Myeongdong 3D Night Light Art Museum, the night light part is very cool, but three-dimensional art is a good place to take pictures, all of them are visual differences, the photos taken are very interesting.Seoul684m from downtown",https://my.trip.com/travel-guide/attraction/seoul/3d-black-art-18604609/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,3D Black Art,"Myeongdong 3D Art Museum uses ultra-realistic 3D dislocation painting technology, coupled with special treatment of luminous perspective, every 5 minutes the painting works will have strange light and shadow changes. The 3D Luminous Art Museum is different from other 3D image galleries, it appears in the dark without light. Here, you can make your own favorite luminous mask, take pictures full of mysterious colors, and experience the sense of mysterious magic brought by colorful lights in the dark. The lights in the pavilion will go out every 5 minutes. Walking in the passage is like passing through the dark light and fantasy space, stimulating your imagination at any time. You are surrounded by strange sights that you cannot see when the lights are on. There are monsters with green faces and fangs, ghosts and ghosts, animals that move and still, and entertainment facilities with strange shapes. If you observe carefully, you will find that their movements and expressions are very different at the moment when the lights are on and off, which is also the biggest feature of the Luminous Museum."
1702394817-2,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,Open at 10:0079. SeMA - Seoul Museum of Art3.44.3/572 Reviewsbased on 151 reviewNo. 11 of Top Museums & Galleries in SeoulArt Museums小思文Seoul Art Museum is a free attraction. This place has a lot of art to enjoy. It is also a very unique building. The museum environment is very good. You can also see some simple layouts. They are all different styles of art.Seoul896m from downtownFree,https://my.trip.com/travel-guide/attraction/seoul/sema-seoul-museum-of-art-95224/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,SeMA - Seoul Museum of Art,"The Seoul Museum of Art, or SeMA for short, is a representative art museum in Seoul. The museum has a total of 6 exhibition rooms and an outdoor sculpture park, with more than 3,500 collections of paintings, sculptures, media, etc. In addition, art exhibitions and art lectures are held regularly, and the International Media Art Biennale is held every two years."
1702394826-3,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,"Closed permanently78. Itaewon Land3.54.2/522 ReviewsBathhousesSpasAURURA木木Route: Get on the bus at Guangxingcang Station (ps: there is only one subway line without saying a few lines), after 6 stops, reach Itaiyuan Station, exit 3 straight for about 260 meters, on the right hand side of the steps. Cost: buy a ticket online in advance for 46 yuan / person personally feel that the last time Longshan sweat steaming curtain is more authentic, you see that there are many Koreans who go to the place to know that it is more authentic. LAND is just famous, filmed ""Secret Garden"" and other many Korean dramas, famous actor Xuan Bin have been here, but the facilities inside really listen to aging. I think I need to bring laundry and toiletries to do steaming in Korea, because there is only one piece of soap for free.Seoul3.9km from downtown",https://my.trip.com/travel-guide/attraction/seoul/itaewon-land-18687825/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,Itaewon Land,"Itaewon Sweat Screen was once the filming location of many Korean dramas, Secret Garden, Splendid Legacy, Lovers in Paris, Prosecutor Princess, Try Lying to Me, etc. There are not only sweat steamers, but also ice cellars, which can be changed back and forth. The steaming here is more affordable and more traditional. After steaming, you can eat eggs and drink drinks while chatting, very much like a Korean drama."
1702394836-4,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 10:3077. Seoul kimchi Academy3.54.5/580 Reviewsbased on 27 reviewNo. 8 of Top Museums & Galleries in SeoulMuseumsIvanFCKimchi mainly depends on the fermentation of lactic acid bacteria to produce a large amount of lactic acid, not by salt osmotic pressure to suppress corrupt microorganisms. Kimchi uses low concentration of salt water, or a small amount of salt to pickle various fresh vegetables, and then fermented by lactic acid bacteria to make a sour enamel product, as long as the lactic acid content reaches a certain concentration, and the product is isolated from the air, you can achieve the purpose of long storage.Seoul540m from downtownFree",https://my.trip.com/travel-guide/attraction/seoul/seoul-kimchi-academy-18648662/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,Seoul kimchi Academy,"The Seoul Kimchi Culture Experience Center offers various experience programs about kimchi to promote the history and culture of Korea to foreign tourists. Under the guidance of kimchi experts, foreign tourists can make kimchi and spicy fried rice cakes on the spot, and can also take the kimchi made back home as gifts. Kimchi-making experience: The Kimchi Academy provides various experience activities about kimchi. Under the guidance of kimchi experts, you can make traditional Korean fermented delicacies, and you can also learn about Korean culture and history during the production process. Korean fried rice cakes-making experience: fried rice cakes are widely loved by men, women and children in Korea, and it is also a representative food in Korea! Follow the experts and experience how delicious fried rice cakes are made! To experience Korean culture, you have to mention Hanbok. Women's Hanbok is called ""Cheguri skirt"", while men's is called ""Cheguri Baki"". It is not difficult to see Koreans' love for traditional culture through Hanbok. Generally speaking, Hanbok is only worn on relatively important occasions."
1702394846-5,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,76. Hangang Bridge3.54.5/5128 ReviewsPopular SpotsBridgeszrth.thrSpend a night at hangang river area is a great decision ever. It is very peaceful and calm. The sound of the subway adds coolness to it. I really like being here.Seoul6.1km from downtownFree,https://my.trip.com/travel-guide/attraction/seoul/hangang-bridge-20905747/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,Hangang Bridge,"A modern bridge on the Han River, it is a bridge connecting Hanjiang Road, Yongshan District and Bendong, Dongjak District, with a width of 36.8 meters and a length of 1005 meters. It is an earlier bridge across the Han River on the Han River Island. It used to be called Hanjiang Highway Bridge before, but on November 7, 1984, the bridge name was changed to Hanjiang Bridge in order to be consistent with the road name Hanjiang Road."
1702394855-6,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,Open at 10:3075. Seoul Sky Observatory3.54.8/552 Reviewsbased on 276 reviewNo. 10 of Top Night Attractions in SeoulPlanetariumsObservation DecksjnhyjereSpent 5 hours at Seoul Sky in Lotte Tower. Love both the day view and the night view from the tower!Ready to Use ImmediatelyAvailable TodaySeoul12.2km from downtownSave RM 32.91RM 103.97From RM 71.06,https://my.trip.com/travel-guide/attraction/seoul/seoul-sky-observatory-50571646/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,Seoul Sky Observatory,"SeoulSky Observatory, 500M, as the highest place in Korea, can have a 360-degree panoramic view of Seoul, the capital of Korea's splendid history and vibrant and modern culture."
1702394865-7,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 09:0074. Seoul City Hall3.64.4/5131 ReviewsCity HallsModern ArchitectureJoon ChaiFirst time feeling that I am like a dwarf in a big city when I am in the Cityhall of Seoul. As most of the buildings are huge and tall, situated closely to each others, it is not easily to see another building or site behind one another. It is a great way to see the city with the city bus tour. It’s a wonderful experience seeing the city from the top view of the bus.Seoul420m from downtownFree",https://my.trip.com/travel-guide/attraction/seoul/seoul-city-hall-20905750/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,Seoul City Hall,"While touring South Korea, you must go to the tourist information center located in the beautiful Seoul City Hall for all of your travel information necessities. Containing many of South Korea's premiere businesses, visitors have access to any modern amenity they require, including banking and health care information. In the center of Seoul, the City Hall is an ideal example of modern technology and architecture. The Seoul City Hall, originally built in 1926, is redesigned and reformed to attend to a bustling metropolis of business enterprise and tourism. The Seoul City Hall is surrounded by hundreds of little shops and restaurants."
1702394875-8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,"73. Banpo Hangang Park3.64.6/5159 ReviewsNo. 11 of Top Nature Attractions in SeoulCity ParksGabrielle SThis is a spectacular place to hang out, especially at night. You get the best views of the Han River and Banpo Bridge. The area is also lively and it’s fun to take a walk down the Han River.Seoul6.4km from downtownFree",https://my.trip.com/travel-guide/attraction/seoul/banpo-hangang-park-20905751/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,Banpo Hangang Park,"Banpo Hangang Park is centered on the Banpo Bridge and is located on the south bank of the Han River. There are water courts, football fields, basketball courts and other sports facilities here. It is a civic park. When you climb up to the viewing platform of Caixia Cafe on the south side of the Tongjak Bridge, you can have a panoramic view of the beautiful river scenery and the row upon row of buildings. In particular, the Moonlight Rainbow Fountain located on both sides of the Han River Park Bridge in Banpo has a total length of 1,140 meters. The length of the bridge fountain was recorded in the Guinness Book of World Records in 2008. At night, the water spray from the fountain is as beautiful as a seven-color rainbow under the illumination of more than 200 lights. Banpo Island, which is connected to Banpo Hangang Park, is located between Banpo Bridge and Dongjak Bridge, and there is a space for rest and entertainment. Every spring, this place becomes a world of golden rapeseed flowers, and the ""Banpo to Butterfly and Rapeseed Flower Festival"" held as an opportunity attracts a large number of tourists and citizens to come and relax. In addition, there are many places to experience such as ecological learning ground, boat yard, bicycle path, etc. in Banpo Hangang Park."
1702394885-9,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,72. YG Entertainment3.64.6/526 ReviewsModern ArchitectureKhánh An Tô HuỳnhJust taking pictures at the building where BlackPink debuted made me happy. There’s also a shop selling YG albums and souvernirs in front of the new building.Seoul6.9km from downtownFree,https://my.trip.com/travel-guide/attraction/seoul/yg-entertainment-18700188/?locale=en-MY&curr=MYR,8,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/8.html/,Korea,YG Entertainment,"YG Entertainment is one of the largest entertainment brokerage companies in Korea and the entertainment company with many HipHop singers in Korea. It was founded in 1996 by Yang Hyun Suk, one of the members of the disbanded 90s popular group ""Seo Taiji and the Children"". . As of 2017, its representative artists include PSY (Uncle Bird), BIGBANG, 2NE1, WINNER, EpikHigh, iKON, BLACKPINK, Crystal Boy, Lee Jong Suk, Goo Hye Sun, Lee Ha Yi, Music Tong Musician, Nam Joo Hyuk, Lee Sung Kyung, etc. ."
1702394913-11,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/?locale=en-MY&curr=MYR,Open at 05:0050. Olympic Park3.94.5/5117 Reviewsbased on 713 reviewNo. 9 of Top Nature Attractions in SeoulCity ParksPopular SpotsStadiumsAngie Graham VlogThe Olympic park is really big! It has different stations and sculptures. They have the instruction in the map and if you were able to complete to visit all the stations you’ll get some freebies.Seoul13.3km from downtownFree,https://my.trip.com/travel-guide/attraction/seoul/olympic-park-78914/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/seoul-234/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Korea,Olympic Park,"The Olympic Park not only has six outdoor sports venues used during the 24th Olympic Games, but also a multi-functional park with strong cultural atmosphere, with a total area of about 1.67 million square meters. The competition field of the park is surrounded by fountains and small lakes, as well as a large lawn where folk performances can be performed. More than 200 sculptures are displayed in the lawn area. These sculptures were donated by 67 artists who participated in the International Field Sculpture Exhibition in commemoration of the 24th Olympic Games, especially the ""Thumb"" by Seigale (France) and the ""Flowing"" by Bioli (Belgium). Fountain"" is striking. The park also houses the Olympic Cultural Center, which integrates education and entertainment. The center consists of two exhibition halls, space science and dinosaurs. There are replicas of various space exploration equipment and lunar rock specimens in the Space Hall, as well as the space suits of American and former Soviet astronauts; the Dinosaur Hall has 27 dynamic or static dinosaur models. Mongchon Doseong Fortress in the Olympic Park is designated as Historic Site No. 297. It is a natural hill wall built by the ancient Baekje Kingdom to prevent external attacks by taking advantage of the natural terrain."
