web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Place,Details
"1702398258-1","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","Open at 09:0090. Sabah State Museum4.84.5/593 Reviewsbased on 651 reviewNo. 1 of Top Museums & Galleries in Kota KinabaluMuseumsPopular SpotswfleeIf want to know more of Sabah, you need go sabah museum. Inside this museum, all sabah culture and history is displayed and show out to visitor. The special in this museum is the orang asli culture in Sabah. The houses for all sabah orang asli also show out in sabah museum. Visitor can direct go inside to take a look for the tradisional houses.Malaysia · West Coast Division","https://my.trip.com/travel-guide/attraction/kota-kinabalu/sabah-state-museum-88331/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Sabah State Museum","Sabah Museum is a prestigious museum in Sabah, which records and displays Sabah's rich historical, social and natural history. The main building of the museum adopts the shape of the Longus longhouse, and the beams extending outwards on the roof resemble the Somasau dancers with outstretched arms. This is the perfect place for those looking to delve into Sabah's rich historical, social and natural history. In addition, the cultural village near the main body of the museum is quite distinctive. It imitates the traditional residence characteristics of the Aborigines in Sabah, and has built many houses. Tourists can enter each room and hall to visit and explore. There are even real people who demonstrate daily life and use tools. ."
"1702398267-2","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","89. Tioman Island4.84.6/543 ReviewsNo. 1 of Top Best Things to Do in TiomanIslands/PeninsulasAyush muhammadfrom mersing went to tioman by speedboat due to no more ferry. kinda peace place to goMalaysia · RompinFree","https://my.trip.com/travel-guide/attraction/tioman/tioman-island-10523675/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Tioman Island","Tioman Island is located on the east coast of Malaysia and is known as the world's top leisure island. Legend has it that the island was also the palace of a dragon girl. The picturesque Tioman Island is sunny, and because of its beautiful scenery, the Hollywood musical ""South Pacific"" has also been filmed here. Tioman Island is well developed and has various facilities such as water sports, accommodation and dining. The waters around Tioman Island are blue and clear, and there are colorful sea fan corals, stone pines, sea hares and other marine life on the bottom, so there is also the nickname of nature aquarium. Moreover, the visibility of the sea water here is more than ten meters, and the warm and clear seabed makes it the best choice for diving enthusiasts. Swim with hordes of tropical fish for fun. In addition to diving, there are also water sports such as windsurfing, jet skis, banana boats, etc. to choose from. If you don’t play in the water, you can also go hiking in the virgin jungle. The virgin jungle on the island is full of wild vines, apes and large lizards, and it has a Jurassic Park visual sense. In addition, the granite formations on the island make it an excellent place for rock climbing. Adventure lovers who like adrenaline can climb the legendary GunungNenekSemukut cliff or Longjiao Rock."
"1702398276-3","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","Open at 09:3088. Islamic Arts Museum Malaysia4.84.5/5135 Reviewsbased on 3.5k reviewFine Art Galleries队长 大使馆The Islamic Arts Museum Malaysia was officially opened on 12 December 1998.The museum is located in the heart of Kuala Lumpur’s tourist belt amidst the lush greenery of Perdana Botanical Gardens and within walking distance to the National Mosque, Bird Park and National Planetarium.Available TomorrowMalaysia · Kuala LumpurFrom RM 113.99","https://my.trip.com/travel-guide/attraction/kuala-lumpur/islamic-arts-museum-malaysia-94850/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Islamic Arts Museum Malaysia","The Museum of Islamic Art in Kuala Lumpur has a finely carved dome and houses one of the world's classic collections of Islamic decorative arts. Exhibits include exquisite textile art, carpets, jewelry, hand-painted pottery, and restored Turkish rooms in the museum. The museum is located in the center of Kuala Lumpur, and the transportation is very convenient. You can send bags when you enter and visit, and various facilities such as air conditioning, toilets, elevators and greenery are very modern. The indoor exhibition hall is divided into three floors, with a detailed introduction to the birth, development and spread of Islam. The main exhibition halls include the Architectural Gallery, the Koran Manuscript Hall, the India Hall, the Chinese Hall, the Coin Hall, the Jewelry Hall and the Textiles Hall, etc. The museum uses a whole floor to display various Islamic architectural design models, such as the Taj Mahal, the Abdul Kali Mosque and the Alharam Mosque in Saudi Arabia. On the second and third floors, a large number of Islamic treasures are displayed, such as Arabic-style wine vessels carved in gold and silver, spice bottles used in the palace, and Arabian waist knives made of gold and jade. In addition, you can also watch chess made of blue and white jade and a mini Quran about the size of a mobile phone. In addition to admiring the art treasures, you can also go to the museum's restaurant to taste the food, including Lebanese restaurants enough to linger. A main meal set is about 52 ringgit. In addition, there is a shop selling exquisite Islamic handicrafts in the museum. The quality of the goods in the shop is better than other places in Kuala Lumpur. If you like it, you can buy some as a souvenir."
"1702398283-4","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","Open at 04:0087. Sipadan Mangrove Resort4.84.7/542 ReviewsNo. 2 of Top Best Things to Do in TawauResortsWetlandsForests素素77Southeast Asia has a large number of tropical rainforests and mangroves protecting water and soil. There are no shortage of such mangroves in Xima and Dongma. The mangrove forest in Semporna has a good scenery and the air is particularly fresh. It is very suitable for family and children to travel for a day trip.Malaysia · Tawau Division","https://my.trip.com/travel-guide/attraction/tawau/sipadan-mangrove-resort-28487288/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Sipadan Mangrove Resort","Swim in the mangroves, enjoy the scenery of nature and the sounds of wild animals. Occasionally, you can find other apes and crocodiles. You can see flocks of egrets flying up and eagles swooping for food. I believe this trip The journey is sure to leave you with indelible memories."
"1702398293-5","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","Open at 08:3086. Langkawi Wildlife Park4.84.6/581 Reviewsbased on 1.2k reviewNo. 2 of Top Family-friendly Attractions in LangkawiZoosJubelToo enjoyable place. The park is small but there are many types of animals. The staff are very nice, will let you interact with the small animals, and also take the initiative to help you take videos and photos. It’s really decompressing when playing with animals, happy like children.Malaysia · Langkawi","https://my.trip.com/travel-guide/attraction/langkawi/langkawi-wildlife-park-20906078/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Langkawi Wildlife Park","Langkawi Wildlife Park opened in late 2002 and was formerly known as ""Langkawi Bird Park"". With the increase of animal species, it was later renamed Langkawi Wildlife Park. Thousands of species of birds live here, including many rare birds. Here you can see macaws, flamingos, as well as the performances of peacocks and starlings, which are very aura. The animals here include birds, mammals, reptiles, fish and tropical orchids. Walking in the tropical garden, watching colorful birds, as if entering a fairy tale world, you can also get close contact with animals by feeding animals. The back part of the zoo is the window display area, which displays many rare handicrafts and natural crystals from Brazil and China. These crystals are so dazzling and so beautiful that they can increase awareness of crystals. The park also has restaurants, duty-free shops, etc., which sell a variety of goods, including beer, spirits and leather products, which are very convenient."
"1702398302-6","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","85. Pulau Beras Basah4.84.4/5122 Reviewsbased on 462 reviewNo. 10 of Top Nature Attractions in LangkawiPopular SpotsIslands/PeninsulasBeachesalecsonThe sand is really soft here on this island. Water is also in tiffany blue. You may reach here by joining the island hopping tour. There is rainbow coloured shower room to rent after playing with the water and sand. Water sports also available for groups. The best thing to do is grab yourself a sit under the tree and enjoy watching others playing. a good place to chill.Malaysia · Langkawi","https://my.trip.com/travel-guide/attraction/langkawi/pulau-beras-basah-91625/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Pulau Beras Basah","Wet Rice Island is also called Baisha Island. The latter is named because the sand is white, and the former is because the boats that used to transport rice encountered the wind and waves to avoid the wet rice. Wet Rice Island has fine white sandy beaches and clear waters, making it an ideal beach for bathing. The basic facilities here are complete, and there are many water activities, including banana boats, water parachuting, and water skiing."
"1702398311-7","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","Open at 08:0084. Penang National Park4.94.6/5143 Reviewsbased on 970 reviewNo. 1 of Top Best Things to Do in Southwest Penang IslandPopular SpotsNational Parksdarren67me and my partner hiked up to pantai kerachut known as the turtle beach in penang island, we decided to hike to and fro from penang national park . It was an excellent experience, the tranquille environment with nature surrounding u at its finest. I do recommend everyone to try it outMalaysia · Southwest Penang IslandFree","https://my.trip.com/travel-guide/attraction/southwest-penang-island/penang-national-park-76099/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Penang National Park","Penang National Park is located in the northwest of Penang Island. It used to be called Pantai Aceh Forest Reserve. After the 1970s, the government began to consider the proposals put forward by environmental protection organizations, and unified management of relevant forest reserves and construction of national parks. . There are many flowers, plants, insects and birds here, and it is a good place for picnic, camping, sports and leisure. In addition, there is a forest museum here, displaying all kinds of forest materials."
"1702398320-8","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","Open at 08:3083. Kilim Geoforest Park4.94.5/5102 Reviewsbased on 2.2k reviewNo. 6 of Top Nature Attractions in LangkawiWetlandsPopular SpotsForestsCity ParksNational ParksPutzNYPurchase the tickets directly at the counter and you will get a private boat tour at a cheaper rate. The beauty of Kilim and its diverse natural geological, biological and cultural resources with high heritage value. You will get to enter the bat cave, see the crocodile shaped rock and many more.Malaysia · LangkawiFree","https://my.trip.com/travel-guide/attraction/langkawi/kilim-geoforest-park-23901523/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Kilim Geoforest Park","Langkawi Geopark is located at the northeastern end of Langkawi, where you can visit fishing grounds, explore bat caves, feed eagles on boats, etc. There are also a variety of exciting outdoor experience activities for tourists to choose and experience. In addition, the unique natural environment in the park area, mangroves, limestone terrain, etc., is an excellent shooting location for photography enthusiasts."
"1702398328-9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","82. Sipadan Diving Reserve malaysia4.94.9/554 ReviewsOutdoor Diving周游列国After you jump into the sea, you don't know where your eyes should look, all the space around you are different fish, and they will gather into huge groups, I feel that I am not on Earth, but on another planet, or in another dimension.Malaysia","https://my.trip.com/travel-guide/attraction/malaysia/sipadan-diving-reserve-malaysia-34266765/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Sipadan Diving Reserve malaysia","Sipadan Island, one of the top ten diving destinations in the world, is known as the ""God's Aquarium"". The vertical cliffs are a feature of Sipadan, and it is easy to see sharks, turtles, humming-headed parrots, jackfish storms, sumei, and gentian. If you are lucky, it is not surprising to see a group of hammerhead sharks."
"1702398337-10","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","Open at 11:0081. Sunway Lost World of Tambun4.94.7/5261 Reviewsbased on 1.6k reviewNo. 1 of Top Best Things to Do in PerakWater ParksRiya謧猰like to go lost world of tambun there have many thing to play  have zoo sometime have shows can watch at there tooReady to Use ImmediatelyAvailable TodayCancel Any TimeMalaysia · KintaSave RM 15.00RM 64.00From RM 49.00","https://my.trip.com/travel-guide/attraction/ulu-kinta/sunway-lost-world-of-tambun-18105374/?locale=en-MY&curr=MYR","9","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/9.html/","Sunway Lost World of Tambun","• A water park suitable for all ages, it not only has fun activities for children, but also an artificial white sand beach where adults can relax.• The park includes water park, amusement park, mini zoo, Tiger Valley, Tin Valley, adventure park, hot spring spa center and many other theme parks.• The 600-meter-long adventure river in the park is equipped with a wave engine. Visitors can enjoy the caves around the park through the river and feel the excitement of turbulent waves and splashing water. It is a classic experience of Lost Paradise.
△Get up close and personal with animals
△Parent-child family fun"
"1702398351-11","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/?locale=en-MY&curr=MYR","50. Manukan Island5.44.5/5218 Reviewsbased on 2.1k reviewNo. 5 of Top Best Things to Do in Kota KinabaluIslands/PeninsulasBeachesNong PhonethidaManukan Island is located just off the coast of Kata kinabalu, the capital city of sabah. it is the second largest island of Marine Park.Malaysia · West Coast DivisionFree","https://my.trip.com/travel-guide/attraction/kota-kinabalu/manukan-island-10522391/?locale=en-MY&curr=MYR","5","https://my.trip.com/travel-guide/attraction/malaysia-100022/tourist-attractions/5.html/?locale=en-MY&curr=MYR","Manukan Island","Manukan Island is one of the five islands of the Kota Kinabalu Tunku Abdul Rahman National Park and is large in size. The north side of the island is a rocky coast, the beaches on the south and east are suitable for swimming. The island is popular with tourists because of its facilities. It has hotels, restaurants, souvenir shops, diving centers and more. The island is rich in activities such as snorkeling, deep diving, parasailing, jet boating, underwater walks, sea bikes, etc., full of fun. The island is also covered with large rainforests. You can climb a mountain and look out on to the surrounding islands from the mountain top."
