web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Country,Place,Details
1702448261-1,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"50. Redwoods – Whakarewarewa Forest7.34.7/583 Reviewsbased on 5.2k reviewNo. 8 of Top Best Things to Do in Bay of PlentyPopular SpotsHiking/BikingHiking/BikingHikingForestsAncient Trees旅の径Redwoods-Whakarewarewa Forest( New Zealand's official tourism website translated as: Fakarewa Rewa Redwood Forest, located in the northern suburbs of Rotorua, North Island, New Zealand, a long-standing and unique tourist attraction. To verify that different tree species are suitable for New Zealand (especially the Rotorua area, which is rich in geothermal resources) Adaptability of geological climatic conditions, in 1901 introduced more than 170 plants, here planted artificial experimental forests; the survival of the fittest, nearly a hundred years of wind and rain, nearly 1/3 tree species survive, grow lush; because most of them are shell fir, bark is brown red, the title is ""redwood forest""; In 1995, it was listed as a tourist attraction and was protected by legislation, and it was stipulated that it should not be cut down at will. The area covers an area of 10,000 square meters of mahogany trees, ancient trees, red and dry green leaves, shaded by clouds, and the scenery is charming. The tree canopy trail not far from the entrance of the forest, enjoy the beautiful scenery of the forest from a unique perspective. The seven fairy mother and son trees in the depths of the forest are accompanied by each other, and the pavilions are full of popularity.New Zealand · RotoruaFree",https://my.trip.com/travel-guide/attraction/lynmore/redwoods-whakarewarewa-forest-90151/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,Redwoods – Whakarewarewa Forest,"New Zealanders have planted more than 170 different types of trees in this red forest, hoping to verify which trees are suitable for New Zealand, especially Rotorua, an area rich in geothermal resources. Of the more than 170 species of trees, one-third survived. Now, the redwood forest is also a great place for people to take a walk, or to do a mountain biking exercise. When I was in the redwood forest, the towering trees rose from the ground and surrounded tourists one by one, so I had to admit my insignificance. Everyone around seemed to be a citizen of the Lilliputian country. Walking through the redwood forest, stepping on the road paved with redwood sawdust, is like walking on a red carpet, soft and elastic. Looking closely at the redwood forest, the sturdy and slender trees have their own characteristics. Among them, the one that is more than 200 years old is the redwood tree, which is very thick and strong. Hold hands to surround it."
1702448271-2,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"49. Onsen Hot Pools7.34.8/519 Reviewsbased on 2.1k reviewNo. 4 of Top Best Things to Do in QueenstownHot Spring Resorts_TS***s4very nice experience. love the view, enjoyed onsen massage and treatment. the price is not friendly but it's worth ✨️New Zealand · Queenstown",https://my.trip.com/travel-guide/attraction/arthurs-point/onsen-hot-pools-31442119/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,Onsen Hot Pools,"Queenstown Onsen Alpine Barrel Hot Springs is built on the edge of a mountain cliff, facing the Shotover Canyon and the snow-capped mountains, where you can enjoy the breathtaking mountain views and overlook the jets running on the Shotover River (Shotover River). speedboat. The water temperature is kept at 37.8 degrees or 39.8 degrees all year round, which can also be adjusted according to your preference. You can even open or close the canopy on the roof by reaching out and touching the button. On a sunny day, you will feel like you are in an outdoor hot spring. You can enjoy the starry sky, and you will not get drenched in the rain."
1702448281-3,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"48. Dunedin7.34.6/577 Reviewsbased on 11 reviewNo. 11 of Top Best Things to Do in OtagoE23***71the “First Church of Octago” is a beautiful place and you must visit if you go to south of New Zealand, Dunedin city centerNew Zealand · DunedinFree",https://my.trip.com/travel-guide/attraction/dunedin-central/dunedin-98582/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,Dunedin,"In the mid-nineteenth century, the Scots built the city of Dunedin, which is now New Zealand's fourth largest city. The subsequent gold rush brought a large number of people and wealth to this young city. The whole city is dominated by Scottish architecture, so it is known as a city with Scottish style other than Scotland."
1702448290-4,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"47. Mount Victoria7.44.5/5131 Reviewsbased on 3k reviewNo. 2 of Top Best Things to Do in WellingtonMountainsLavender and SunThe mountains near Wellington are green, blue sea and blue sky, and the scenery is beautiful. The climate is mild and the seasons are like spring. Wellington has a mild and humid climate and is a famous tourist attraction in the South Pacific. The climate is warm!New Zealand · WellingtonFree",https://my.trip.com/travel-guide/attraction/mount-victoria/mount-victoria-81686/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,Mount Victoria,"Mount Victoria is 196 meters high and is located on the east side of Wellington City. It was used as a lookout in the past. The Maori called it ""Matairangi"", which means a place to look at the sky. Now there is a viewing platform (MountVictoriaLookout) on the top of the mountain, which is a good place for a 360-degree panoramic view of Wellington and the beautiful harbour scenery. Mount Victoria is also the filming location for the first film in the ""Lord of the Rings"" trilogy. The escaped Hobbit escaped the pursuit of the Black Knight in the dense forest on the mountainside, which is far from the bustling city of Wellington. Just a few minutes away. From Oriental Parade (Oriental Parade) or (Majoribanks Street) (Majoribanks Street), you can go up the mountain along the walking path. On both sides of the winding road are the small villas of Wellington's wealthy people, and a modern house with a lot of personality is very beautiful. After arriving at the observation deck on the top of the mountain, you can see the whole picture of the seaside city and the ferry boats crossing the bay. When the weather is fine, you can clearly see the Wellington Airport and the planes taking off and landing. Not far from the viewing platform is a triangular cone, a monument to the famous Antarctic explorer Major General Richard Byrd. Follow the extended line on the edge of the triangular cone at night to find the location of the Southern Cross."
1702448298-5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"46. Auckland Zoo7.44.5/5122 Reviewsbased on 3.6k reviewNo. 9 of Top Best Things to Do in AucklandZoos_TS***pda lovely family day out, different zones to explore and a wide range of animals. the kiwi bird night enclosure was a highlight. food stall inside for small snacks and drinks. small world charm and good value for money. also easy to access on public transport with buses running close by so the zoo is in walking distance. peace walks around the animals with nice sculptures to enjoy.New Zealand · Auckland",https://my.trip.com/travel-guide/attraction/western-springs/auckland-zoo-94265/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,Auckland Zoo,"Auckland Zoo is a well-known zoo in New Zealand, located west of Albert Park. The design of the park is very good, and it is also a paradise for photographers. 1. Six themed ecological areas The New Zealand animal display area is divided into six themed ecological areas, namely: beaches, islands, wetlands, nocturnal animals, forests and mountains. There are all kinds of local and foreign animals in the park, not only common animals such as elephants, giraffes and lions, but also rare animals such as white rhinos and ring-tailed lemurs. Among them, the Kiwi kiwi is famous. Due to its degenerated wings, it cannot fly, but its life span can reach 30 years. It is a unique species of New Zealand, and it is also the national bird and symbol of New Zealand. 2. Close contact with animals One of the more attractive points is that tourists can get close contact with animals, such as hand-feeding giraffes or parrots."
1702448306-6,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"45. AJ Hackett Kawarau Bungy Centre7.44.6/585 ReviewsNo. 10 of Top Best Things to Do in OtagoBungee JumpingPopular SpotsHistorical SitesFlight ExperiencesDJDQExtreme sports that you must experience when you come to New Zealand! Adrenaline is soaring! I just had a mentality that I had to experience once in my life, and I jumped down with a bite of my teeth hahaha. Before jumping, you have to weigh your weight. New Zealand beef lamb chop salmon is so delicious that it is five pounds fatter than when you set off. . . After jumping, you can buy pictures or videos, which are very expensive, but it is also a memorial. A T-shirt with a 43-meter bungee jump will also be sent. If you don't open it, there will be a free shuttle bus to Queenstown.New Zealand · Gibbston",https://my.trip.com/travel-guide/attraction/gibbston/aj-hackett-kawarau-bungy-centre-24647488/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,AJ Hackett Kawarau Bungy Centre,"Bungee jumping is an insanely exciting high-altitude jumping activity with die-hard fans, and the craze started with jumping off the Kawarau Bridge in November 1988. The AJ Hackett Kawarau Bridge Bungy Centre is the birthplace of bungee jumping in the world and a very representative location for outdoor adventures in Queenstown. Under the Kawarau Bridge is the famous Kawarau River. There are many types of bungee jumping projects, and tourists can have personalized requirements. The staff will adjust the bungee rope according to your requirements, for example, tourists can choose whether to get wet or not."
1702448316-7,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"44. Hells Gate7.44.4/565 Reviewsbased on 2.4k reviewNo. 7 of Top Best Things to Do in Bay of PlentyGeological Sitespxy0705The gates of hell in Rotorua are absolutely a fantastic geological landscape. The middle-aged smog is ethereal, and the geothermal resources are constantly coming out, making there are no creatures and plants in the surrounding lake water, just like the intersection of hell, but in fact, it is a natural hot spring, and you can also soak in a mud bath here, which feels very magical.New Zealand · Rotorua",https://my.trip.com/travel-guide/attraction/tikitere/hells-gate-98781/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,Hells Gate,"There are a total of 22 hot spring attractions in the Hell Gate. Among them, the ""Devil Hot Spring"" is a 6-meter-deep geyser. The spring water with a temperature of up to 95 degrees is constantly gurgling, and the large hot spring waterfall in the southern hemisphere pours out mightily. , stunned! Hell's Gate, which means ""my young daughter was taken away by water"" in Maori, commemorates a young girl who drowned in a geothermal pool; its English name was taken by Bernard Shaw, who visited the site in 1934. This impressive geothermal resource reserve covers more than 400 acres, with 2.5 kilometers of walking trails leading to various attractions. The scene of geothermal steam eruption can be seen everywhere here, and the rock surface has also turned yellow due to the influence of sulfur, and it is desolate everywhere, like purgatory on earth. Don't throw rocks into mud or hot spring pools at will, to avoid all kinds of accidents. It is said that if you do bad things to the various natural landscapes of the gate of hell, you will be punished. The degree of punishment and the duration of the punishment vary depending on how bad you do things, so be sure to be in awe when you are inside the gate of hell. !"
1702448326-8,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"43. Skyline Rotorua7.44.6/564 Reviewsbased on 6.3k reviewNo. 6 of Top Best Things to Do in Bay of PlentyCable CarsSyed HussenSkyline Rotorua. Adventure centre with a gondola, luge tracks, a high-adrenaline swing, zip-line & panoramic dining. We choose to try the luge activity. There is 5 track to choose form with the longest track is 1.8KM long.New Zealand · Rotorua",https://my.trip.com/travel-guide/attraction/fairy-springs/skyline-rotorua-80880/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,Skyline Rotorua,"The Rotorua Skyline Skyline Cable Car takes you to the mid-mountain of Mt.Ngongotaha, which is 487 meters above sea level. As the cable car climbs, the city of Rotorua and the beautiful Lake Rotorua, It's getting smaller and smaller under your nose, and the scenery is getting perfect. A well-known play item here is the scooter. After you put on a safety helmet, sit on a tricycle with a very low chassis and sprint down by gravity, which will make you scream! The scooters are divided into slow, intermediate and sprint roads, with a total length of 5 kilometers, enough for you to play, right? If that's not enough, play a few more times! In fact, many people are so addicted to this scooter that they will never let go until they play three or four times. If you have a premonition that you belong to this kind of human being, remember to buy the cable car +3 rides (or + 5 trips) combined tickets can save a lot of money for fun! If you still don’t like it, then I can only recommend the Sky Swing project with very heavy taste to you! Put on a special seat belt and rush down the mountain at a speed of 120 kilometers per hour. The degree of fear is comparable to bungee jumping! Perhaps in this extreme stimulation, you have no time to take into account the beautiful scenery of lakes, mountains and cities! The food and coffee served by the cable car restaurant are very well received. After the tour, you might as well go in and soothe your over-excited body and mind with delicious hot drinks!"
1702448336-9,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"42. Canterbury Museum7.44.4/5129 Reviewsbased on 2.8k reviewNo. 4 of Top Best Things to Do in ChristchurchMuseumsPopular Spots旅の径To travel to Christchurch, you should visit the Canterbury Museum. The appearance and connotation are worth seeing. Appearance. The museum in the city center, next to the botanical garden. The gray-bottomed white-framed buildings are both elegant and dazzling. In front of the museum is a statue of William Ralston, a distinguished politician and leader in Canterbury. The figure is lifelike. Connotation. Compared with China, the museum is medium-sized. But the rich and varied exhibits fully showcase New Zealand's unique Maori culture and history, showcase New Zealand's natural and colonial development, showcase human exploration and cognition of Antarctica, and can learn more about New Zealand's historical culture.New Zealand · ChristchurchFree",https://my.trip.com/travel-guide/attraction/christchurch-central/canterbury-museum-95870/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,Canterbury Museum,"The Canterbury Museum is located in the center of Christchurch. It has an elegant European-style architectural appearance. It mainly displays the history of the Canterbury region and the precious cultural relics of the Eurasian region. You can not only learn about Maori culture and art here, but also see many Antarctic-related exhibitions. 1. Appreciate the various artworks left by the Aboriginal Maori In the Maori exhibition area on the 1st floor, you can enjoy a variety of artworks such as exquisite carvings left by the Aboriginal Maori, and display the vehicles of the pioneering period and reproduce the contemporary street scene. premises. The second floor is the office and is not open for viewing. The third floor is mainly the Antarctic exhibition area. In addition to the relics of Captain Scott, you can also see the extinct giant moa specimens and moa eggs in the bird hall, as well as lifelike sculptures of emperor penguins. 2. Discovery Center to learn about natural history In addition, there is also a Discovery Center for children on the 3rd floor, which is very suitable for parent-child activities. Through various interesting interactive facilities, children can learn about natural history. Knowledge."
1702448347-10,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/?locale=en-MY&curr=MYR,"Closed at 19:0041. One Tree Hill7.44.5/5146 Reviewsbased on 1.2k reviewNo. 8 of Top Best Things to Do in AucklandAttractionsPopular SpotsMountainsHistorical SitesKaren0301One Tree Hill is located in Auckland, New Zealand. I've been here for a walk in the morning. You have to try and experience the quite view and placeNew Zealand · AucklandFree",https://my.trip.com/travel-guide/attraction/epsom/one-tree-hill-80513/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/new-zealand-100078/tourist-attractions/5.html/?locale=en-MY&curr=MYR,New Zealand,One Tree Hill,"One Tree Hill, also known as One Tree Hill, is located in Cornwall Park on the southern outskirts of Auckland. It is a hill formed by a volcanic eruption about 30,000 years ago and is 182 meters high. On the top of the mountain once stood a large lone pine tree, but now the tree is gone and there is only a monument and the tomb of Sir John Logan Campbell, the father of Auckland. A great place to relax and enjoy the view of Auckland Standing on the top of One Tree Hill, overlooking the beauty of Auckland. Cornwall Park at the foot of the mountain has a large green lawn, which is a good place for strolling and leisure. You can often see cattle and sheep grazing here, which is very interesting. In spring, you can enjoy cherry blossoms here, which is unique. In addition, the park is also a popular barbecue place for locals."
