web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Place,Details
"1702400748-1","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","120. Denarau Island7.04.7/5115 ReviewsNo. 1 of Top Best Things to Do in Viti Levu GroupIslands/PeninsulasBeachesLavender and SunWith Fiji's most beautiful beaches and white sand, the world's top five-star hotels are dizzying, and each hotel has a private beach. Many important international conferences in Fiji are also chosen here, such as Asia-Pacific Talks, South Pacific Conferences, etc.Fiji · Viti LevuFree","https://my.trip.com/travel-guide/attraction/denarau-island/denarau-island-86134/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Denarau Island","Denarau Island is located in the northwest of the city center of Nadi, the main city of Viti Levu, the main island of Fiji. It is very close to the airport. It is a gathering place for resorts and has many luxury hotels. Each hotel here will be equipped with a private beach, where you can enjoy diving, swimming, fishing and other water activities. Denarau Island is one of the more mature resort areas in Fiji. Many important international conferences will be held here, so the security is also good."
"1702400758-2","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","Open at 09:00119. Puzzling World7.04.4/599 Reviewsbased on 2.1k reviewNo. 18 of Top Best Things to Do in OtagoTheme ParksLavender and SunThe sightseeing plank road runs on the south bank. Some of the winding walking trails that start at the camping area on the lake are great places for a wonderful holiday. Sailing, swimming, sailing and fishing are popular activities in the summer. Good place.New Zealand · Wanaka","https://my.trip.com/travel-guide/attraction/wanaka/puzzling-world-10522315/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Puzzling World","The Labyrinth World is located about 2 kilometers away from Wanaka and is one of the world's ""weird"" themed parks. The labyrinth world is mainly divided into two areas, the illusion room and the big labyrinth. Here you will experience all kinds of ""impossible"" supernatural phenomena, such as the leaning tower, the grotesque cafe, the public toilet and the exhibition hall of sculpture illusion are not to be missed. In short, here you can't guess what will happen in the next second! The water that can flow upstream in the illusion room, the sliding chairs that move from floor to ceiling, all the weird things that subvert common sense are just trivial here. Passing through the world's largest 3D hologram, you can choose to go to the Hall of Tracking Faces to experience 168 faces following your every movement, or come to the Sculpture Illusion Exhibition Hall to see the living walls, wavy roofs, Stone rugs, hanging waterfalls, etc. The world's first three-dimensional labyrinth is an outdoor part of the labyrinth world. The design of the large labyrinth reflects the characteristics of a modern labyrinth. You can experience the fun of crossing bridges. Tourists who want to leave midway can use the special emergency exit at any time."
"1702400775-3","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","118. Mission Bay7.04.6/5201 Reviewsbased on 251 reviewNo. 11 of Top Best Things to Do in AucklandBeachesSeashoresD了个YMission Bay Mission Bay located just 8 kilometers east of Auckland, New Zealand's largest city. It is the most convenient beach near Auckland. The west side is the Labour Party Monument. Every weekend, it will be lively. No surprise. Mission Bay should be Auck. The most entertaining beaches around Lan. There is no one in the Mission Bay. There are many sea activities on the beach. There are also many sunbathing, picnics, sand playing... Here you can also see the panoramic view of the Auckland harbor. As a city so close to the city beach, all this makes People are so envious.New Zealand · AucklandFree","https://my.trip.com/travel-guide/attraction/mission-bay/mission-bay-94193/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Mission Bay","There are many western restaurants and outdoor cafes near Mission Bay Beach, which is a good place to taste delicious food and enjoy the sea view. 1. Abundant beach activities and water sports In Mission Bay, you can not only enjoy the panoramic view of the romantic harbor, but also overlook the volcanic island of Rangitoto, which erupted more than 600 years ago. Beach activities are plentiful here, and you can swim, kayak, windsurf, and other water sports like the locals, or inline, jog, bike, or walk along Tamaki Boulevard. 2. Iconic Fountain, Ice Cream Shop There is an iconic fountain near the beach, which will be colorfully lit at night. There are many restaurants and bars around Mission Bay. It is especially worth mentioning that there is a Movenpick ice cream shop that is very famous in Auckland. No matter when you come here, you will see a long queue in front of the shop. Be sure to try it. Oh try it."
"1702400785-4","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","Open at 08:00117. Government Gardens7.04.7/5107 Reviewsbased on 1.2k reviewNo. 9 of Top Best Things to Do in Bay of PlentyCity ParksPopular Spots旅の径Government Garden, located in the center of Rotorua, is the most striking landmark of Rotorua. Elegant and atmospheric architecture. Deep in the garden lawn, is the Rotorua Museum of History and Art. Built in 1908, the building is spireed with red tiles and yellow walls, the floor is not high, the width is very wide, and the Tudor architecture style and Victorian architectural style are combined. The building with architectural beauty, near-view, left and right, is a beautiful photo. Quiet and beautiful garden. Wide lawns, green grass, surrounded by benches; quiet gardens, flowers blooming, deep hidden seats of exquisite buildings and sculptures. Citizens and tourists, some stroll, some daze, some punch in, comfortable.New Zealand · RotoruaFree","https://my.trip.com/travel-guide/attraction/rotorua/government-gardens-90150/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Government Gardens","The land occupied by the Government Gardens was originally owned by the Maori. This was originally a bush-covered geothermal area, called Paepaekumana by the Maori, who have left too many memories of war on this land. It was gifted to the government by the Maori in the late 19th century, who made a drastic transformation: clearing the bushes, replanting them with orthodox garden plants, and transforming the land into a beautiful and elegant lakeside spa Scenic spot. The Rotorua Museum of Art and History and the Polynesian Spa are both housed in Government Gardens. Even if you don't visit the museum or go to the hot springs, just strolling in this meticulously kept park and feeling the blue sky and green breeze of Rotorua is a very pleasant thing."
"1702400793-5","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","Open at 10:00116. Auckland Art Gallery7.04.4/5103 Reviewsbased on 1.9k reviewNo. 10 of Top Best Things to Do in AucklandArt MuseumsPopular SpotsBuildings by Famous Architectspearl***I would highly recommend visiting the Auckland Art Gallery as the exhibitions are thoughtfully curated and features both permanent and non permanent collection. We love the inspiring art by Robin White at the time we visited last December. There's a cafe and art shop where you can purchase unique crafts and souvenirs. Entrance is absolutely free.New Zealand · AucklandFree","https://my.trip.com/travel-guide/attraction/auckland-central/auckland-art-gallery-94184/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Auckland Art Gallery","Auckland Art Gallery is an art gallery in Auckland, established in 1888, is a New Zealand art gallery with permanent exhibitions. It has a wide collection of works of art from New Zealand and other countries in the world, and also holds some international exhibitions. It is a museum with a long history in New Zealand. The S$112 million refurbishment of the Auckland Art Gallery reopened in 2011 with the addition of a glass and timber atrium design that the architects had in mind from the start: to match the original local landscape. Complementing the main body of the original French castle-style building built in 1887, it is a museum with a long history in New Zealand. 2. Rich collection, both visual and spiritual satisfaction There are rich collections here, including works by Picasso, Gauguin, Rainey and other artists. In addition, art works from New Zealand and the South Pacific region are exhibited here. Covers everything from Charles Gaudí's 19th-century tattooed Maori portraits to Colin McCarhorn's oil-on-canvas paintings of characters. Friends who like art may wish to come and visit."
"1702400808-6","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","115. Dunedin Railway Station7.04.6/5192 Reviewsbased on 3.4k reviewNo. 17 of Top Best Things to Do in Otago果汁分你一半✔Dunedin is full of cultural atmosphere, with many historic buildings, museums and bird sanctuaries. The city still retains many typical Scottish-style buildings, which are described as the ""most Scottish-like city outside Scotland"". Dunedin is full of culture, with many historic buildings, museums and bird sanctuaries. The city still retains many typical Scottish-style buildings, which are described as the ""most like Scotland outside Scotland""New Zealand · Dunedin","https://my.trip.com/travel-guide/attraction/dunedin/dunedin-railway-station-83786/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Dunedin Railway Station",""
"1702400818-7","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","114. Apollo Bay7.04.6/5132 ReviewsNo. 1 of Top Best Things to Do in Apollo BayBeachesDr BPA quaint, sleepy little town about mid-way along the Great Ocean Road. Stunning beach with absolutely awesome sunrises. Gets very busy with tourists from Melbourne (and elsewhere) in Summer, but in the quieter months you'll practically have the place to yourselfAustralia · Apollo BayFree","https://my.trip.com/travel-guide/attraction/apollo-bay/apollo-bay-13672504/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Apollo Bay","Apollo Bay is an intermediate stop on the Great Ocean Road. From Apollo Bay to the east and west, there are very spectacular bay landscapes. From Apollo Bay to the small town of Lorne, the terrain is steep and winding, and the road spirals up, as if in front of the sea OK. The lagoon next to the town of Lorne has a wide lake surface and dense reeds on the shore, which has become a habitat for seabirds and migratory birds. Occasionally there are white swans and black swans visiting, it is an ideal place for sketching, taking pictures, and creating ideas. In the Cumberland River Reserve (Cumberland River Reserve), 7 kilometers southwest of the town of Lorne, there is a beautiful river estuary, coupled with the broken arm cliffs that have been eroded by wind and rain, forming a beautiful landscape. Apollo Bay is a crescent-shaped bay that is a great place for fishing."
"1702400826-8","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","113. TranzAlpine: Scenic Train Christchurch - Greymouth7.14.4/527 Reviewsbased on 3.5k reviewNo. 6 of Top Best Things to Do in ChristchurchOther Sightseeing ToursPopular SpotstantangIn arthurs pass, it’s beautiful here. Many people get off the bus here and prepare to go to other places! The most beautiful places are all over here! Many people got off the bus just to take pictures. The sun was very fierce and dazzling! But it was cold!New Zealand · Christchurch","https://my.trip.com/travel-guide/attraction/addington/tranzalpine-scenic-train-christchurch-greymouth-18560714/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","TranzAlpine: Scenic Train Christchurch - Greymouth","The Alpine Scenic Train tour travels between Christchurch and Greymouth, traveling from coast to coast in New Zealand. From the comfort of your carriage, admire the intersecting farmland of the Canterbury Plains, as well as the spectacular gorges and valleys of the Waimakariri valley. The train will then climb the majestic Southern Alps to Arthur's Pass National Park and descend through lush beech rainforest to the west coast town of Greymouth - a great base for exploring Punakaiki and its popular glaciers . The comfortable carriage has huge panoramic windows."
"1702400835-9","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","112. Cathedral Square7.14.2/5137 Reviewsbased on 70 reviewNo. 5 of Top Best Things to Do in ChristchurchSquares旅の径The Cathedral Square is located in the heart of Christchurch, New Zealand's South Island. It is the historic center of Christchurch, once the main venue for public gatherings, and now it is the city's transportation center, the center of activities for tourists (especially pedestrians), and a must-check in place to visit Christchurch. The most vicissitudes. The Christchurch Cathedral (the square is named after it) was built in1864-1904, and two earthquakes occurred during the construction period. After its elegant shape and 63-meter-high Gothic minarets, it became a classic landmark of Christchurch. The 6.3 magnitude earthquake in February 2011 seriously damaged the construction of Christchurch. The steeple of the cathedral collapsed, half of the tower remained, and only the middle temple was completely preserved. The damaged building has not been repaired yet, surrounded by cold scaffolding. The most eye-catching. In the middle of the square, a memorial statue of John Robert Codley, the founder of Christchurch in Canterbury. The most literary. On the side of the square, there is a giant chess board, the red/black chess pieces are50-80 cm high, and each one looks very heavy and difficult to move (two masters are focusing on playing and playing chess, the author did not experience the weight of the chess, leaving a regret). The coolest. In 2001, to celebrate the millennium and the 150th anniversary of the establishment of Christchurch and Canterbury, the sculpture ""Millennial Grail"" was placed in the square. The 18-meter-high sculpture is a long, tapered shape, abstract shape, decorative image, outer circle hollow, outer wall silver gray, inner core blue. Between the cascading, the leaves of 8 native native plants such as the leaves of New Zealand national flower-silver foliage, twisted and stretched upward, symbolizing vitality and prosperity. The most convenient. The retro tram has a station on the side of the square, which becomes a beautiful scenery. 2.6 kilometers of operation lines and 17 retro trams of stops can easily reach the main landscape of the city.New Zealand · ChristchurchFree","https://my.trip.com/travel-guide/attraction/christchurch-central/cathedral-square-80896/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Cathedral Square","Cathedral Square is located in the middle of the city, and the square around the church is still a leisure place for locals. Every weekend, you can see a variety of street concerts and impromptu street performances here. There will also be a lively market, with T-shirts, sunglasses, paintings and various handicrafts sold along the street, and even a wooden handicraft clock in the shape of a church, which is of special significance. There is also a giant chessboard on the other side of the church square. Each piece has a considerable weight, which is very interesting. There are some cafés and restaurants in the streets near the square, where you can sit and relax with a cup of coffee to pass the time."
"1702400844-10","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/?locale=en-MY&curr=MYR","Open at 07:00111. Walter Peak High Country Farm - RealNZ7.14.4/5107 ReviewsNo. 16 of Top Best Things to Do in OtagoFarmsBoat Tours旅の径Walter Plateau Ranch, there are a lot of things to see, mainly two: one is the cute sheep. The sheep shearing show in the performance square, a hairy sheep, with the help of the beautiful shepherd's knife and the sheep dog, has been bare and cute for a while. Shepherd dogs in the grazing area drive sheep. Several sheep dogs drove a group of lambs into the enclosure, so that tourists could feel the little bits of sheep up close. The second is the beautiful villa. On the east side of the ranch pier is the villa area, the most eye-catching ""Colonel's House"" built in 1902. Under the mountains, on the clear water, the white walls reflect the red roof, the greenery is lined with flowers, the lake waves are shooting the beach, the scenery is beautiful to the extreme.New Zealand · Walter Peak","https://my.trip.com/travel-guide/attraction/walter-peak/walter-peak-high-country-farm-realnz-80889/?locale=en-MY&curr=MYR","12","https://my.trip.com/travel-guide/attraction/oceania-120003/tourist-attractions/12.html/","Walter Peak High Country Farm - RealNZ","Take the steamship Enslow from Queenstown, roaming the beautiful Lake Wakatipu, and the boat slowly sails to the Walter Plateau Ranch on the other side. The ranch, which opened in the mid-19th century, is a century-old ranch with a long history, where you can watch classic performances such as the sheep shearing show and the sheepdog show. The ranch tour comes with an authentic New Zealand afternoon tea, and you can also go horseback riding in the vast ranch or enjoy fragrant barbecue at your own expense. Let's go to the ranch and experience the tranquility of New Zealand's unique ranch!"
