COUNTRY,Place,Details,Class
CANADA,Biotechnology Research Institute,"Biotechnology Research Institute, part of the National Research Council of Canada, focuses on the development of bioprocesses for the prevention, remediation and monitoring of pollution, as well as the development of new biotechnology applications related to fighting climate change and achieving sustainable industrial development. BRI scientists have unique expertise in the biotreatment of contaminated soils, groundwater, sediments, air, and industrial wastewater. The Sector's multidisciplinary team of scientists and engineers works closely with the industry on the research and development of innovative environmental technologies",Biotechnology
CHINA,Cansino Bio,"Company is known for developing vector based vaccines. CanSinoBIO gained international attention for its COVID-19 vaccine, which is named Convidecia. Convidecia is a viral vector-based vaccine that uses a modified adenovirus (Ad5) to deliver genetic material that stimulates an immune response against the SARS-CoV-2 virus",Biotechnology
CHINA,Sinopharm,"Sinopharm is known for developing two inactivated virus COVID-19 vaccines. One of them is the Sinopharm BIBP COVID-19 vaccine, also known as BBIBP-CorV2. This vaccine completed Phase III trials in several countries with over 60,000 participants. It’s one of the vaccines being used in vaccination campaigns by certain countries in Asia, Africa, South America, and Europe",Biotechnology
CHINA,Sinovac Biotech,"Expert in developing various vaccines for various infectious diseases. The company has worked on vaccines for influenza, hepatitis, and other respiratory and viral infections",Biotechnology
DENMARK,Allergologisk Laboratorium Kobenhavn Abello,Specializes in the development and manufacturing of allergy immunotheraphy products for the prevention and treatment of allergy. It is one of the world's largest makers of allergy immunotheraphy products,Biotechnology
DENMARK,Novo Nordisk,"Manufacture and markets pharmaceutical product and services specifically diabetes care medications and devices. Its main product is the drug semaglutide, used to treat diabetes. Also involved with hemostasis management, growth hormone therapy, and hormone replacement therapy",Biotechnology
FRANCE,Sanofi,"French multinational pharmaceutical and healthcare company which engaged in the discovery, development, manufacturing, and marketing of a wide range of medicines and vaccines. Its portfolio Includes medicines for the treatment of cancer, rare diseases, multiple sclerosis, human vaccines for protection against various bacterial and viral diseases, and other products. The company also offers consumer healthcare products for digestion, allergy, cough, cold, flu and sinus, pain, women’s health, and vitamins, minerals, and supplements. Sanofi's R&D efforts focus on advancing a combination drug to increase the effectiveness of treatments and on advancing the formulation of new biologics to produce precision medicines",Biotechnology
GERMANY,Bayer Pharmaceuticals,"Involved in research, development and marketing prescription medications. The company focuses on therapeutic areas such as cardiology, oncology, women health, and specialty pharmaceuticals",Biotechnology
GERMANY,BioNTech,"Develops and manufactures active immunotherapies for patient-specific approaches to the treatment of diseases. It develops pharmaceutical candidates based on messenger ribonucleic acid (mRNA) for use as individualized cancer immunotherapies, as vaccines against infectious diseases and as protein replacement therapies for rare diseases, and also engineered cell therapy, novel antibodies and small molecule immunomodulators as treatment options for cancer        ",Biotechnology
GERMANY,Boehringer Ingelheim,"Engaged in the research, development, manufacturing, and marketing of pharmaceuticals for human and veterinary medicine. The company focuses on various therapeutic areas, including respiratory diseases, cardiovascular diseases, oncology, metabolic diseases, immunology, and central nervous system disorders",Biotechnology
IRELAND,Allergan,"Pharmaceutical company that acquires, develops, manufactures and markets brand name drugs and medical devices in the areas of medical aesthertics, eye care, central nervous systems, and gastroenterology. The company is the maker of Botox",Biotechnology
