web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Place,Details
"1702402266-1","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","30. Ibirapuera Park7.84.4/576 Reviewsbased on 37.1k reviewNo. 2 of Top Best Things to Do in Sao PauloPopular SpotsAmusement ParksCity ParksのりかIbirapuera Park was crowded with families and people running ♪ I think it's the best place on holidays ✨Brazil · Sao PauloFree","https://my.trip.com/travel-guide/attraction/sao-paulo/ibirapuera-park-13215435/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Ibirapuera Park","The park has pools of different sizes, sports fields, walking routes and various supporting cultural facilities. The well-known modern art galleries, Banderas monuments and monuments in Sao Paulo are also here. The open-air theater here also often puts on free programs, attracting many people to watch. 1. Park function In the middle of dense skyscrapers, the green park is almost another world. This is a place where local citizens get close to nature, and it is often crowded on weekends, with people running, cycling and skateboarding. In addition, the park also provides rental car cruise service, which is convenient for tourists to rent a car to explore the park. 2. Park tour Near the park, you can visit the Modern Art Museum and Banderas Memorial Statue together. The Banderas Monument is one of the well-known tourist attractions in Sao Paulo. The sculpture is carved from granite and built on a three-story granite base. In front of the statue are two galloping high-headed horses, and one of the riders holds his head high. The other looked back at the procession and seemed to command the people in a loud voice. Queen Ma is a pioneer of the prototype of St. Paul with various tools, old and young, male and female. In order to commemorate the development of Brazil and highlight the contributions of people of different countries and races to Brazil, the local department built a monument to Banderas in a corner of the park."
"1702402274-2","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","29. Floralis Genérica7.94.2/570 Reviewsbased on 5.6k reviewNo. 6 of Top Best Things to Do in Buenos AiresModern ArchitecturePopular SpotsM47***15In every city in Argentina, there was a city flower, when a famous American artist volunteered more than $2 million to build this steel flower, the flower height 23 meters, the diameter of the flower: 16 meters when closed, 32 meters when opened. The flower consists of 6 large petals, a total weight of 18 tons. Tilted 70 degrees. The flower base is a 44-meter-diameter pool.Argentina · Buenos AiresFree","https://my.trip.com/travel-guide/attraction/buenos-aires/floralis-genrica-101517/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Floralis Genérica","The Argentine steel flower symbol is the representative of a hundred flowers. Its Spanish can be written as FloralisGenerico. The flowers are 23 meters high and the flower diameter is 16 meters when closed and 32 meters when open. The flowers consist of 6 large petals and weigh 18 tons in total. The base of the flower is a pool with a diameter of 44 meters. The steel flower was built in the garden of the United Nations Square in Recoleta District, the first district of Argentina, adjacent to the Law School of the University of Buenos Aires. The flower is mainly cast in stainless steel and aluminum, and it opens and closes in the morning and evening by manual electric control. The flowers open at dawn every day of the year (except during storms) and close at dusk. However, there are 4 days when the flowers will not bloom: National Day on May 25, Spring Festival on September 21, Christmas Eve on December 24, and New Year on December 31."
"1702402283-3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","28. Ipanema Beach7.94.5/5163 Reviewsbased on 19.1k reviewNo. 5 of Top Best Things to Do in Rio de JaneiroBeachesSeashores徐徐霞客RrRio, Brazil, Ipanema Beach, this beach is one of the most well-known beaches in the local area, this beach is very popular with locals, every time the holiday, there are very, very many people here. I suggest you come here if you want to go to the beach.Brazil · Rio de JaneiroFree","https://my.trip.com/travel-guide/attraction/rio-de-janeiro/ipanema-beach-100811/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Ipanema Beach","Ipanema Beach is one of the two most well-known beaches in Rio de Janeiro. It is world-famous for being the birthplace of the Bossa Nova in the 1960s, and the song ""Girls of Ipanema"" (Garotade Ipanema) is also from here. birth. Copacabana and Ipanema are famous beaches in Rio. If you don't visit these two beaches in Rio, it is like ""you are not a hero if you don't go to the Great Wall"". You can see many people running, cycling, playing football, surfing and sunbathing here every day. If the weather is fine, watch the sunset on the reef Aropoador, east of Ipanema Beach and Copacobana Beach. The sunset sank magnificently in the deep sea, until a little glow was left, and the surroundings were dim, like a farewell."
"1702402291-4","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","27. Middle of the World City8.14.3/543 Reviewsbased on 3.8k reviewNo. 2 of Top Best Things to Do in PichinchaMonumentsPopular Spots韭娄Standing on the top of the monument and looking around, you can see a lot of peaks, some are volcanoes, large volume, spectacular, there are some small museums below the surrounding area, there are some knowledge about the north and south equator in the tower, you can participate in these activities (it seems to be paid inexpensive), Here are two addresses, because the first one is not particularly accurate due to technical reasons, we only went on a big one, people will step on both sides of the photo, very commemorative, get off the airport and have a car directly, so that you can save a transportation fee.Ecuador · Distrito Metropolitano de Quito","https://my.trip.com/travel-guide/attraction/quito/middle-of-the-world-city-13684563/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Middle of the World City","The Ecuadorian Equator Monument is divided into two, the old and the new. The old monument was completed in 1774. It is located in the town of San Antonio, where the longitude 78°27′8″ west and the latitude 0° intersect. It is 24 kilometers away from the capital Quito. The monument is about 10 meters high. The column is engraved with E.S.O.N. four Spanish letters representing east, west, south and north, to commemorate the French and Ecuadorian scientists who contributed to the measurement of the equator and the construction of the stele. The stele is engraved with ""Here is the center of the earth"" The top of the stele is an eye-catching large stone globe with a white center line symbolizing the equator, which is connected from top to bottom with the white lines on the steps on the east and west sides of the stele. This white line divides the earth into two parts, north and south. Every year on March 21 and September 23, the sun passes through the equator and directly hits the equator, and the global day and night are equal. At this time, the Ecuadorians will hold a grand event to welcome the sun god, thank the sun for bringing warmth to mankind Ecuadorians call this monument half the world. Tourists like to stand on the stone steps to take pictures, with their feet on both sides of the white line, to show that they are standing on the north and south hemispheres at the same time. Announced by the United Nations in 1978 It is a world cultural heritage. In 1981, the Ecuadorian government decided to build a new equatorial monument in the Equinocial Valley near the monument. The new monument was completed on August 9, 1982. Its appearance is basically the same as the old monument, but it is older than the old one. The monument is three times larger: 30 meters high, 4.5 meters in diameter, and 4.5 tons in weight. The things on the monument are inscribed: 78°27′8″ West Greenwich, 0°0′ latitude. An elevator was built in the monument, and a watchtower was installed on the top of the monument. In front of the monument, there is a long stone passage, and there are some stone sculpture groups on both sides of the passage. Anyone who travels to Quito can receive a certificate issued by the management department to prove that they have visited the dividing line between the northern and southern hemispheres on a certain day of a certain year. In addition, the Somali Equator Monument is located 60 kilometers north of Kismayo, a port city in southern Somalia. It is a 3-meter-tall concrete building with a globe and an east-west pointer at the top to mark the equator."
"1702402301-5","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","26. Monserrate8.14.5/547 Reviewsbased on 16k reviewNo. 1 of Top Best Things to Do in BogotaMountainsRafael OsorioMonserrate is the best place to have a look of all Bogota. it is a beautifull mountain and the best of all is that you can have a great dinner in one of the theee restaurants on top of the mountain. you will be surrounded of so much green and fresh air. I went with my Mom, sister and a visitor from Italy this year (2019) and it was the perfect place for some good pics :)Colombia · BogotaFree","https://my.trip.com/travel-guide/attraction/bogota/monserrate-18697010/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Monserrate","Montserrat Mountain is located in Bogota, Colombia, where the scenery is beautiful. You can take the cable car up the mountain and enjoy the beautiful scenery of the mountains along the way. Standing on the top of the mountain, you can overlook the whole view of Bogota. There is a white church built in 1650 on the mountain, and there are some places to drink coffee, which is a good place for morning exercise and leisure. At night, you can have a bird's-eye view of the whole city at the top of the mountain, or have a dinner at the restaurant on the top of the mountain and enjoy the view while eating. You can take the cable car up the mountain, which runs every 15 minutes."
"1702402309-6","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","25. El Ateneo Grand Splendid7.64.4/556 Reviewsbased on 23.3k reviewNo. 5 of Top Best Things to Do in Buenos AiresLibrariesHistorical ArchitecturesPopular SpotsM50***55The first time I came to a bookstore with more than 2,000 square meters! It’s too luxurious, retro and spectacular. The panoramic view can’t be photographed in the phone. How do I describe it? Haha, everyone must come if they have a chance!Argentina · Buenos AiresFree","https://my.trip.com/travel-guide/attraction/buenos-aires/el-ateneo-grand-splendid-100867/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","El Ateneo Grand Splendid","The Athenian Bookstore is located in the downtown area of Buenos Aires. This bookstore is converted from an old theater and claims to be the second largest bookstore in the world. The bookstore’s predecessor, the Grand Theater of Light, was completed in 1919 and was once a landmark in Buenos Aires. The dome fresco was painted by Italian painter Sanarino Orlandi, and the theme is peace. The original boxes, sculptures, and the crimson curtain on the stage in the theater are well preserved, but the stage has become a place for readers to rest. You can go up to eat snacks or sit and read. The boxes are turned into ""mini"" reading rooms."
"1702402318-7","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","24. Tierra del Fuego National Park8.14.6/567 Reviewsbased on 8.9k reviewNo. 1 of Top Best Things to Do in Tierra del FuegoPopular SpotsLakesForestsNational Parks曽小姐we can visit the park by both coach and train in different areas. sitting on the train, we can appreciate the beautiful sceneries and get off in several picture taking points.  I visited early Nov and late Nov. mountains carry more snow on the top early Nov and are beautiful during sunny day.Argentina · Ushuaia","https://my.trip.com/travel-guide/attraction/ushuaia/tierra-del-fuego-national-park-10548282/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Tierra del Fuego National Park","Tierra del Fuego National Park is a national park at the southern end of the world. It is full of nature. You can explore and visit the park. Along the way, there are beautiful mountains and rivers, full of vitality, and a variety of wild animals and birds. There is plenty of rain here, and in autumn the fallen leaves on the hillside are red. Snow mountains, lakes and virgin forests are its characteristics. Follow Route 3 to the Bishop Alamein Camping Station and take the small train to the National Park. The railway station has now been converted into a museum, where many historical photos are hung, and some objects and materials are also displayed in the showcase."
"1702402326-8","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","23. Iguaçu National Park8.14.6/534 Reviewsbased on 15.7k reviewNo. 1 of Top Best Things to Do in ParanaPopular SpotsWaterfallsForestsNature ReservesNational ParksBryce van de LaarWe had a truly amazing time at Iguacu National Park. The park is well organized, the staff are friendly and the routes are well maintained. There is a great lookout point where you are right above some of the falls and you get completely wet! This was one of those experiences that will flash before my eyes just before I die.Brazil · Matelandia","https://my.trip.com/travel-guide/attraction/matelandia/iguau-national-park-10522548/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Iguaçu National Park","Iguazu National Park is located in the basalt area and crosses the borders of Argentina and Brazil. It is an important biological forest park in South America, with a protected forest of 600,000 hectares, in addition to 400,000 hectares of virgin forest. Surrounded by subtropical rainforest with more than 200 kinds of vascular plants, many rare and endangered animal and plant species are protected in the park. Happy home for tigers and crocodiles. One of the most spectacular waterfalls in the world, Iguazu Falls, 80 meters high and 2700 meters long, is located in the center of this area. There are also various entertainment activities in the park. Visitors who like to be close to nature can choose to take a helicopter to overlook the entire park, or take a boat to swim on the Iguazu River, and even get close to the waterfall! 1. Take a helicopter to hover over the park and enjoy the magnificent view! Opening hours: 9:00-17:30 daily Route types: There are two routes to choose from, a 10-minute tour of the park and waterfalls, and a 35-minute tour of the park and its adjacent areas and borders. The panoramic view of the park by helicopter has always been one of the most popular projects in Iguazu National Park. Board the helicopter for a panoramic view of the entire park and waterfalls. 2. Visit the Iguazu River and get up close to the Great Falls! Opening hours: 9:30, 12:00 and 14:00 every day Estimated time: 4 hours Take a speedboat from the upper reaches of the Iguazu River, and enjoy small animals and aquatic plants along the way. There is a chance to watch the sunset on Cockatoo Island and thousands of parrots in the rapids. Visitors can choose to disembark at Bananeiras port, choose to walk or continue the boat to learn more about the species in the park. 3. Thrilling water safari, experience a full water tour! Opening hours: 9:00-17:30 every day, every 15 minutes, each boat carries 23-25 people. There are three parts to the process. First, tourists take the electric train to shuttle through the forest, and then there will be an explanation of the flora and fauna of the park. Afterwards, walk 600 meters to the waterfall, observing various wild animals and century-old trees along the way. Tourists can take a ""waterfall bath"" in an inflatable boat - the boat slowly approaches the waterfall, the water mist spreads out in front of the tourists, and the driver suddenly accelerates to make the boat go fast through the waterfall, and everyone will get wet, and the feeling is as if The soul is baptized. There are a lot of items to play. If you want to play all of them, it is impossible without two or three days."
"1702402335-9","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","Closed at 16:0022. Parque Nacional Los Glaciares8.14.6/545 Reviewsbased on 12.7k reviewNo. 2 of Top Best Things to Do in Santa CruzPopular SpotsCity ParksNational ParksUNESCO World Heritage - Natural SitesGlaciers乖小咪The latitudes of Argentina's Glacier National Park are close to the South Pole. There is a magnificent ice sheet, all formed hundreds of millions of years ago, showing a faint blue, very dreamy. Hiking through the ice sheet is the best way to travel, although some hardship, but only then you can experience the beauty and wonder of glacier national park.Argentina · Lago Argentino Department","https://my.trip.com/travel-guide/attraction/lago-argentino-department/parque-nacional-los-glaciares-13640916/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Parque Nacional Los Glaciares","Argentina Glacier National Park is located in southern Argentina, which is on the east side of the Patagonia Mountains in the southern part of the Andes that runs through the western South American continent, and belongs to the province of Santa Cruz, Argentina. The glacial lake where the Glacier Park is located is called Argentine Lake, and the lake covers an area of 1,414 square kilometers. The closest town is El Calafate, 30 kilometers away, and all travelers must first arrive in El Calafate before visiting Glacier National Park. Glacier National Park is a unique and beautiful area of natural beauty. There are rugged, towering mountains and many glacial lakes, including the hundred-mile-long Lake Argentina. At the confluence of the three glaciers at the far end of the lake, the milky-grey ice water poured down, and the huge drift ice like a small dome rushed into the lake with a thunderous roar. It is famous because it is one of the few glaciers in the world that is still ""alive"", where the spectacle of ice avalanches can be seen every day, and it was included in the World Natural Heritage in 1981. The ice avalanche of the Moreno Glacier in March 2012 attracted the attention of countries all over the world."
"1702402342-10","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/?locale=en-MY&curr=MYR","21. Perito Moreno Glacier8.14.7/581 Reviewsbased on 6.7k reviewNo. 1 of Top Best Things to Do in Santa CruzBoat ToursHikingNational ParksGlaciers曽小姐there are wooden walking path with distance level of A, B, C . you can make your choice of the distance you can manage to walk with timing of taking picture and stand to appreciate the scenery or listen the sound of moving iceberg.  there are huts with glass window if it is too windy or cold as shelter.  nice to take a day tour to be there and prepare some snack to  take on the way instead of wasting time in restaurant.Argentina · Lago Argentino Department","https://my.trip.com/travel-guide/attraction/lago-argentino-department/perito-moreno-glacier-89167/?locale=en-MY&curr=MYR","3","https://my.trip.com/travel-guide/attraction/south-america-120005/tourist-attractions/3.html/?locale=en-MY&curr=MYR","Perito Moreno Glacier","The Moreno Glacier, located in the Argentine Glacier National Park in the province of Santa Cruz at the southern tip of Argentina, is one of the few living glaciers on Earth that is still advancing."
