web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Country,Place,Details
1702449873-1,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,70. Lausanne Ouchy5.54.5/585 Reviewsbased on 1.2k reviewNo. 4 of Top Best Things to Do in LausanneBoat Tours小思文I saw a lot of yachts on the pier. This pier is also a place where you can taste local fish. The visit on the pier is also quite interesting. The sea breeze is very comfortable. There will be many people going out to play on weekends. It is also a good scenery.Switzerland · LausanneFree,https://my.trip.com/travel-guide/attraction/lausanne/lausanne-ouchy-13467123/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,Lausanne Ouchy,"Ouchy Wharf is one of the more important water transportation hubs of Lake Geneva. There are some cafes, restaurants and hotels along the coast, where you can fully enjoy the beautiful scenery of Lake Geneva. There are many ferries and cruise ships parked near the pier, and there are many private yachts in sight. In addition to taking a boat tour of the lake, you can also take a boat to Montreux and Vevey, or to the opposite town of Evian. On sunny days, the area around Wuxi Wharf always gives people a relaxed and comfortable feeling. Many people sit on chairs in open-air restaurants and enjoy sunbathing, or feed swans by the lake, enjoy the lake view, and sometimes see the streets Artist's performance. In addition, there are many green parks, squares and sculpture landscapes around, which are very suitable for walking and relaxing."
1702449881-2,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"69. FIFA headquarters5.54.4/557 Reviewsbased on 112 reviewNo. 10 of Top Best Things to Do in Zurich小思文FIFA headquarters is one of the important football headquarters in Europe, and a meeting place before major events, FIFA headquarters is the permanent unit, member countries include countries around the world, the World Cup is launched here.Switzerland · Zurich",https://my.trip.com/travel-guide/attraction/zurich/fifa-headquarters-13460839/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,FIFA headquarters,"FIFA is the English abbreviation of the famous International Football Federation (FederationInternationalofFootballAssociation). If you are a fan, then the FIFA headquarters in Zurich must be a stop on the trip not to be missed."
1702449889-3,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"68. Hohematte5.54.7/553 ReviewsNo. 3 of Top Best Things to Do in InterlakenSquares莲子99This is a large lawn in the center of the town, and the lawn is not the same size as the exquisiteness of the small town. Later, I saw the paragliding landing here, only to understand that it still has functional considerations, from this to see the top of the Jungfrau is very interesting.Switzerland · Interlaken DistrictFree",https://my.trip.com/travel-guide/attraction/interlaken/hohematte-81104/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,Hohematte,"Holheimat is a green square in the center of Interlaken. It is the garden of the former monastery, with a wide field of vision and a beautiful view of the Jungfrau. The spacious green space has a fountain and is dotted with many sun loungers, suitable for leisure walks. Holheimat is also a landing place for hang gliders. There is a reception point on the edge of the lawn. After paying, staff will take tourists to the nearby mountains for free gliding and experience the beauty of Interlaken from a high altitude. In addition, across the road to the north of the square is the famous entertainment center."
1702449910-5,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 08:0066. St. Peter's Church5.64.4/561 Reviewsbased on 591 reviewNo. 9 of Top Best Things to Do in ZurichHistorical Architectures徐徐霞客RrWhen St. Peter’s Church did not come before, I often heard that after this church came, it felt more unexpected. It was really beautiful. It was photographed with the blue sky and white clouds behind. It seemed to be in some places in Tibet.Switzerland · ZurichFree",https://my.trip.com/travel-guide/attraction/zurich/st-peter-s-church-10547427/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,St. Peter's Church,"St. Peter's Church is a Baroque church in Zurich nestled between winding alleys. The huge Roman-style tower built in the 13th century is the characteristic of the church. It was once used as a guard tower. The bell built in 1880 is the crown of Europe, and its dial is 8.7 meters in diameter. St. Peter's Church is the oldest church in Zurich, dating back around 900 years. In addition, the baptistery in the church, the beautifully carved choir seats, the relief decoration and the pipe organ are also worth seeing."
1702449918-6,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 10:0065. Museum Ariana5.64.4/543 Reviewsbased on 295 reviewNo. 10 of Top Best Things to Do in Canton of GenevaMuseumsPopular Spots小思文The Ariana Museum is also a very fun building, the whole museum includes many good things to visit, this museum is also a very worth visiting place, many areas are simple oh.Switzerland · GenevaFree",https://my.trip.com/travel-guide/attraction/geneva/museum-ariana-15057069/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,Museum Ariana,"Adjacent to the Palais des Nations, the Ariana Museum is one of the most important ceramic museums in Europe. It collects pottery from the 12th century, glass crafts from the 7th century, etc., witnessing the development of ceramic art from the Middle Ages to modern times. There are more than 20,000 pottery and glass items from Switzerland, Europe, the Middle East and the Far East in the museum. These cultural relics are displayed according to their age and characteristics, and they are highly ornamental."
1702449927-7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"64. Court Church of St. Leodegar5.64.6/5101 Reviewsbased on 554 reviewNo. 7 of Top Best Things to Do in Canton of LucerneChurches and CathedralsPopular Spotsfooler0809The high tower on the facade of this church is very pointed, the feeling of clamping the central building tightly, the interior space is reminiscent of Notre Dame Paris, the decoration style does have similarities, it is a good space for meditation, and the atrium.Switzerland · LucerneFree",https://my.trip.com/travel-guide/attraction/lucerne/court-church-of-st-leodegar-80738/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,Court Church of St. Leodegar,"The full name of the Hauf Cathedral is the Church of St. Leo Degar, located on the north side of Lake Lucerne, and it is the most important church in Lucerne. The church was built in 735. It was originally a Romanesque building, converted into Gothic in the 14th century, and rebuilt in Renaissance style in the 17th century due to fire damage. The eastern part of the Capel Covered Bridge extends to the high stone steps in front of the church. The interior of the church is solemn and solemn. Today's Hauf Cathedral is a place of worship for the locals and a place where church music is performed. There are concerts in the church from time to time, and the religious music played makes the church particularly solemn and grand. Here you can see a huge pipe organ, made in 1640 with a total of 4,950 organ pipes, which is still used today at the summer festivals in Lucerne."
1702449935-8,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"63. Alter Kirchturm Lungern5.74.9/522 ReviewsNo. 1 of Top Best Things to Do in LungernChurches and CathedralsyanglishPassing by the town of Longen on the way from Lucerne to Interlaken, the town is loved by tourists because of a very beautiful lake - Longjiang Lake. There is also a church in the town, which is very eye-catching. It is more convenient to drive here.Switzerland · LungernFree",https://my.trip.com/travel-guide/attraction/lungern/alter-kirchturm-lungern-18695082/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,Alter Kirchturm Lungern,"Longjiang Church was built more than 100 years ago and has a long history. It is a neo-Gothic style building. The church is a taller building in the town, with a magnificent atmosphere. There are various tombstones under the church, which is very artistic. Longjiang is full of beautiful scenery. If you have enough time, you can walk along the lake for a while, and you can enjoy the lake and mountains."
1702449943-9,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 08:0062. Musegg Wall Lucerne5.74.5/574 Reviewsbased on 281 reviewNo. 6 of Top Best Things to Do in Canton of LucernePopular SpotsHistorical Sites猫猫在旅行The Museg wall is very historic. There are nine watchtowers on the wall, three of which can be climbed up. Google Maps can accurately guide you below the watchtower you can visit. After climbing up, you can overlook the whole city.Switzerland · LucerneFree",https://my.trip.com/travel-guide/attraction/lucerne/musegg-wall-lucerne-80737/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,Musegg Wall Lucerne,"The Mussegger Wall is one of the better-preserved and longer defensive walls in Switzerland, built in 1386. The city wall is more than 900 meters long, and there are 9 watch towers of different styles on it. Now only four of Schirmerturm, Zeitturm, Wachtturm and Männliturm are open to tourists during the season other than winter. The great clock built by Hans Luter on the Zyt tower in 1535 is a very old clock in Lucerne and enjoys the privilege of striking one minute ahead of the other great clocks in the city. Standing on the city wall, you can overlook the entire Lucerne, and the lake and mountain peaks in the distance come into view, which is intoxicating."
1702449952-10,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 10:0061. Einstein House (Einsteinhaus)5.74.5/568 Reviewsbased on 695 reviewNo. 6 of Top Best Things to Do in BerneMuseumsPopular SpotsFamous Residences我不是李亚鹏Many tourists who come to Einstein may be confused here, very Swiss characteristics of gray brick buildings, no special features, but look up and you will find Einstein's former residence hidden here. His former residence has now been renovated as a memorial museum, but it still retains the characteristics of the year and shows the style of accommodation he once lived in. It includes the old furniture, wallpaper, cutlery and so on.Switzerland · Berne",https://my.trip.com/travel-guide/attraction/berne/einstein-house-13460831/?locale=en-MY&curr=MYR,7,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/7.html/,Switzerland,Einstein House (Einsteinhaus),"The Einstein House is located at No. 49 Kramstrasse in the Old Town of Bern, only 200 meters from the famous Bern Clock Tower. Einstein and his family rented this small suite from 1903-1905, and today you can get a glimpse of the great physicist here. The first floor of the apartment has been converted into a cafe and restaurant, and Einstein's former residence is just a turn up the stairs. In fact, the suite is very small, and the room is divided into two and a half rooms by a door. There is a desk in the second half of the smaller room, which is the original used by Einstein. On the wall in front of the desk is the famous mass-energy equation: E=mc². It was in 1905 that Einstein published four papers, including on the special theory of relativity, which was of epoch-making significance in the world of physics, so 1905 was also known as ""Einstein's Miracle Year""."
1702449963-11,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/?locale=en-MY&curr=MYR,"Open at 08:0060. Basler Rathaus5.74.6/544 Reviewsbased on 1.5k reviewNo. 3 of Top Best Things to Do in Canton of Basel-StadtCity HallsBuildings by Famous ArchitectsSquares猫猫在旅行The city hall in Basel is unexpectedly beautiful. Because it was early in the city center, other attractions did not open, so I arrived at the city hall first. The red sandstone architecture is particularly brightly colored, with gold decoration, very beautiful. The interior of the building is full of large murals and is rich in color. The red building is even more beautiful against the blue sky and white clouds.Switzerland · Basel-Stadt",https://my.trip.com/travel-guide/attraction/basel/basler-rathaus-90222/?locale=en-MY&curr=MYR,6,https://my.trip.com/travel-guide/attraction/switzerland-100050/tourist-attractions/6.html/,Switzerland,Basler Rathaus,"The Basel City Hall stands on the Market Square and is the seat of the state capital of Basel and the seat of the city council. Of particular note are the Town Hall, its beautiful inner courtyard, its romantic arcades and its majestic tower. The town hall has been located in this area since the 14th century, rather than the seat of the city's previous ruler, the duchy monarch who was also bishop, who lived on Chapel Hill. Not choosing the same address shows that the citizens at that time sought independence as their economic strength grew, and were no longer subject to the bishop. The craftsmen formed 15 guilds, which in 1501 carried out the decision of the municipal council to join the Swiss Confederation. To commemorate this event, at the beginning of the 16th century, the first half of the then town hall was replaced by a very famous new building. The battlements have also been renovated, surrounded by very rich colors, with 12 badges hanging, representing the 12 cantons, including Basel, which joined the Swiss Confederation at the time. At the beginning of the 17th century, the town hall was enlarged, and HansBock painted the wider and longer walls, with imitation architecture. In 1900, the town hall was further expanded, adding a annex on the left and a tower on the right. At the same time, the original rear building built in the 14th century was demolished and a new building was built. This was a period of historicism, as the architects used elements from the traditional style, some old parts and their architectural forms were incorporated into the new building, but the whole decoration was of a very new style at the time, known as Art Nouveau."
