,web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Country,Place,Details
0,1702401476-1,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,"50. Signal Hill7.44.5/564 Reviewsbased on 3.9k reviewNo. 5 of Top Best Things to Do in Western CapeMountain ClimbingMountainsObservation Decks泰宁根吴承恩Signal Hill is a place to enjoy Cape Town's Cape Good Hope. It is actually considered to be on Table Mountain. It is very convenient to climb Signal Hill, and the scenery along the way is particularly good. The more you go up, the wider the view, the more excited you see the good Hope Point at the intersection of the two oceans.South Africa · Cape TownFree",https://my.trip.com/travel-guide/attraction/cape-town/signal-hill-96048/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Signal Hill,"Signal Hill is located on the side of Table Mountain and is named after the firing of cannons at noon. The other end is also known as the Lion's Head Mountain because of the appearance of the lion's head. Signal Hill is only 346 meters above sea level. There are multiple angles on the mountain to overlook the cityscape of Cape Town, the vast Atlantic Ocean and the panoramic view of the famous Table Mountain. Signal Hill is also a good place to watch the Cape Town night view, which is known as one of the three major night views in the world. There are wonderful views from multiple angles on the mountain. The dazzling, crystal clear, endless fire trees and silver flowers that stretch for dozens of kilometers are breathtaking and unforgettable. A very traditional ceremony is held every day in Cape Town at noon except on Sundays. The cannon salvo on Signal Hill was so punctual that the South Africans even used it to set clocks."
1,1702401486-2,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,"49. Alexandria Library7.44.5/5128 Reviewsbased on 1.9k reviewNo. 2 of Top Best Things to Do in Alexandria GovernorateLibrariesPopular SpotsHistorical Sites喜欢猫的虎The ancient Alexandria Library was built in the early Ptolemy Dynasty in the third century BC. It was the largest library in the world at that time. It collected more than 500,000 volumes. It included literature and materials in literature, science and technology, art, philosophy and other fields, attracting famous scientists, philosophers and other places. Thinkers and artists came to visit, such as Archimedes and Euclid, to conduct research, lecture, write books and engage in other academic exchanges. Alexandria became the world's cultural and scientific center at the time. The Ptolemy dynasty was also distinguished by its talents, producing a group of astronomers, geographers, mathematicians, medical scientists and linguists who made outstanding contributions to the world's scientific and technological culture. The new library is located on the seafront avenue of Alexandria on the southern shore of the Mediterranean, next to the large statue of the ""Bride of the Mediterranean"", which costs $110 million, is novel and unique and eye-catching. The new library covers a comprehensive range of subjects, including the main library, youth library, blind library, planetarium, manuscripts display hall, ancient books museum, cultural relics museum, science and history museum, taking into account the needs of children, blind people and visually impaired people; The books are all-inclusive and everything. For Alexandria and visitors from all over the world, the Library of Alexandria is a wonderful place.Egypt · Alexandria",https://my.trip.com/travel-guide/attraction/alexandria/alexandria-library-96544/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Alexandria Library,"This futuristic disc-shaped building is a world-renowned reading place with more than 2,000 seats for readers. The entire building is covered in a variety of scripts from around the world to reflect the multicultural heritage and spirit of the library. There are 8 million books in the collection. A traditional library tour begins in the lobby with a multilingual guide (English, French, Italian and Spanish). It is divided into 4 fixed museums, whose themes are antiques, manuscripts, former Egyptian President Sadat and the history of science. An important feature of the library is the interactive display of Egyptian cultural traditions, ""CULTURAMA"": nine huge computer screens form a semicircle to show people a panorama of war or history. The interactivity of the screen ensures that the presenter can explore the 5,000-year history, and when he clicks on specific content or major events, people can better understand the situation."
2,1702401495-3,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,"48. Pompey's Pillar7.44.3/5116 Reviewsbased on 500 reviewNo. 1 of Top Best Things to Do in Alexandria GovernorateMonumentsHistorical Sites莲子99The remains of the historical buildings of the Hellenistic period in Egypt, where only the small Sphinx remains in the rest. The large platform of the foundation is still preserved, and it is even more lonely. This is the remains of the Alexandria landmark.Egypt · Alexandria",https://my.trip.com/travel-guide/attraction/alexandria/pompey-s-pillar-81423/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Pompey's Pillar,"The Pompeii Column towers over the ruins of the Temple of Serapeum, which requires 100 steps to reach. The Pompeii Column is a huge column 22 meters high, hewn from red Aswan granite, this is the famous Pompeii Column, it stands impressively on the remains of the Rhakotis hill, Alexander the Great is grew up here. Over the centuries, the Pompeii Column has been the main attraction of Alexandria. Its main body is a shaft-shaped cone-shaped granite with a foundation depth of 2.7 meters and a beautiful Corinthian capital at the top. An inscription at the base of the Pompeii column shows that the column was built in AD 291 to support a statue of Emperor Diocletian. In order to spread Greek culture and protect Egyptian civilization, the rulers of that year founded the Serapis belief. The word ""Serapis"" comes from the Egyptian god Osirapis, to which Ptomiele I added the characteristics of the Greek gods, created a new patron god Serapis for his people, and placed it on Mount Rohaktes. The temple of Serabyum was built on the mound. In the subsequent political and religious disputes, the temple was destroyed by Christians."
3,1702401503-4,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,47. Nairobi National Park7.54.6/595 Reviewsbased on 3.5k reviewNo. 2 of Top Best Things to Do in NairobiPopular SpotsCity ParksNational ParksZoosExplorer001Awesome experience. Got to see so many animals for the first time up close.Available TomorrowKenya · NairobiFrom RM 444.53,https://my.trip.com/travel-guide/attraction/nairobi/nairobi-national-park-81500/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Nairobi National Park,"Nairobi National Park is 8 kilometers south of Nairobi city center, west of A104 National Road, there is a 120 square kilometers of savannah and woodland, this is Africa's first wildlife park - Nairobi National Park. Nairobi Park is also the only true safari park in the world located in the national capital."
4,1702401513-5,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,46. Giraffe Centre7.54.5/577 Reviewsbased on 5.4k reviewNo. 1 of Top Best Things to Do in NairobiPopular SpotsNature ReservesZoosExplorer001Enjoyed my visit. Got to feed the giraffes. It was a very relaxing and therapeutic visit for me.Kenya · Nairobi,https://my.trip.com/travel-guide/attraction/nairobi/giraffe-centre-81499/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Giraffe Centre,"The Giraffe Center is home to endangered Rothschild giraffes, and its mission is to foster conservation awareness and provide environmental education with the goal of inspiring people to appreciate and protect the diversity of animals in Kenya. The place is very interesting and there are a lot of activities. You can observe, feed and even kiss the giraffes from the second-floor balcony of a red building. This is a very strange and extremely rare experience, especially for children or adults with childlike innocence. From the Giraffe Center, you can also cross the adjacent Gogo River (Gogo River), enter the bird sanctuary, and take a walk for a fun forest walk. Unlike the common reticulated and Masai Mara giraffes, Rothschild giraffes are an endangered species that have largely disappeared from their habitat in western Kenya. In 1979, when the African Endangered Wildlife Fund was just getting started, there were fewer than 130 Rothschild giraffes in the wild. Today, the number of this species exceeds 300, and the Giraffe Centre has successfully reintroduced these charismatic animals to Lake Nakuru National Park, Ruma National Reserve, Ruma National Park (NationalPark) and Nasalot National Reserve (Nasalot National Reserve)."
5,1702401522-6,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,"45. Mortuary Temple of Hatshepsut7.54.6/5162 Reviewsbased on 3.6k reviewNo. 3 of Top Best Things to Do in New Valley GovernorateCemeteriesPopular SpotsHistorical SitesBuildings by Famous ArchitectsPlum9195This was such an interesting Temple built by a very interesting Queen. I will not spoil the story by telling it to you here, it is much better when you hear it while visiting the temple.You should have a guide to help you truly appreciate the history of the Temple. Usually the same guide that takes you to the Valley of the King's will take you to this Temple as well as they are very close to each other. The Polish people were instrumental in preserving this Temple and signage recognises this contribution. Seeing the actual tree stump of one of the trees brought back from a long ago trek was also mind-blowing.  This was one of the most memorable sites we visited. Highly recommend.Available TomorrowEgypt · Qesm Al Wahat Al KhargahFrom RM 203.45",https://my.trip.com/travel-guide/attraction/qesm-al-wahat-al-khargah/mortuary-temple-of-hatshepsut-78790/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Mortuary Temple of Hatshepsut,This is the temple built by the famous Queen Hatshepsut and her father Thutmose I in Egyptian history. It is located in a valley surrounded by cliffs. Two long and wide slopes connect three flat and wide colonnade buildings in series.
6,1702401533-7,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,"44. Royal Palace Rabat Morocco7.64.5/548 Reviewsbased on 624 reviewNo. 2 of Top Best Things to Do in Rabat-Sale-KenitraPalacesPopular Spots老少皆宜程Rabat is the capital of Morocco, so the palace of Morocco is Rabat. We come to Rabat to visit, fully feel the long history and characteristic culture of Morocco, it is a very beautiful tourist attraction.Morocco · Rabat",https://my.trip.com/travel-guide/attraction/rabat/royal-palace-rabat-morocco-13512067/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Royal Palace Rabat Morocco,"The Rabat Palace has a history of 227 years and is a typical Arabian palace building. The Royal Palace Avenue is wide and straight. There are ancient cannons around the square and a large circular fountain in the center. This is also the square where the King of Morocco welcomes the heads of states from all over the world. The palace is not to be approached, it is not allowed to stop and look around for a long time, and it is not allowed to take pictures."
7,1702401541-8,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,"43. Mount Kilimanjaro7.74.9/580 Reviewsbased on 2.6k reviewNo. 1 of Top Best Things to Do in KilimanjaroSnow MountainsFoot On Kili Tanzania AdventureBest Country to Visit Tanzania, The Land of Mount Kilimanjaro, Serengeti and Ngorongoro, We are local Outfitters Organize the best Trekking to Mount Kilimanjaro, Everything here as to be exploring, Enjoy the Nature , while hiking the highest mountain in Africa, You can hike with your family, friends and spend your honeymoon,We invited people all over the world to come and experience the beauty of Tanzania.Available TomorrowTanzania · RomboFrom RM 10,200.57",https://my.trip.com/travel-guide/attraction/rombo/mount-kilimanjaro-82161/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Mount Kilimanjaro,"Mount Kilimanjaro is located at the junction of Tanzania and Kenya, with a height of 5895 meters and an area of 756 square kilometers. ""Kilimanjaro"" in Swahili means ""shining mountain"" or ""bright and beautiful mountain"", standing on a rolling plain not far from the Indian Ocean, known as the ""Roof of Africa"" and ""Africa The temple of God"", the peak is covered with snow all year round, forming a spectacle of equatorial snow-capped mountains. Most of the people who admire this peak are due to the influence of Hemingway. In the famous novel ""The Snows of Kilimanjaro"", Hemingway outlines the magical mood with a few strokes at the beginning. However, with the global warming effect, Kilimanjaro's snow is melting and could disappear completely within 15 years. Compared to 1912 alone, Kilimanjaro's ""snow cap"" has shrunk by 82 percent."
8,1702401550-9,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,42. Lion & Safari Park7.74.6/567 Reviewsbased on 2.2k reviewNo. 1 of Top Best Things to Do in North WestPopular SpotsHikingZoos_TS***f3A stunning day out. Animals are well looked after and prices are reasonable. There are much nicer safaris in Johannesburg but much more expensive. You can spend 5 minutes with the white lion cubs which will try to steal and chew your flip flops. A must go if you don't want to spend too much money on a safariSouth Africa · BojanalaFree,https://my.trip.com/travel-guide/attraction/hartbeespoort/lion-and-safari-park-86409/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Lion & Safari Park,"One of the must-see attractions in Johannesburg is a wild lion protection base, where you can feed the lions with your own hands, and have the opportunity to take pictures with the little lions."
9,1702401559-10,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/?locale=en-MY&curr=MYR,"41. Baie du Tamarin7.74.6/5128 Reviewsbased on 523 reviewNo. 5 of Top Best Things to Do in MauritiusDolphin Watching_TS***fcsurely one of the best trip of the west coast of Mauritius. Did the trip with Cedric Pierre lf Ignace Cruise. Amazing trip started early in the morning not so much boat around and spend nice time swimming with the dolphins. After than snorkeling near the coral reefs alazing multi colorful fishes. After see the crystal rook with amazing crystal clear water. spend some time on Benitier island relaxing , picture and spelending view on Le Morne Mountain. After that Cedric will prepare the best BBQ fish , saucassez and chicken amazing and if you want you can order lobster. amazing Trip keep shining Ignace cruiseMauritius · MauritiusFree",https://my.trip.com/travel-guide/attraction/mauritius/baie-du-tamarin-13329372/?locale=en-MY&curr=MYR,5.0,https://my.trip.com/travel-guide/attraction/africa-120006/tourist-attractions/5.html/?locale=en-MY&curr=MYR,Africa,Baie du Tamarin,"If you come to Mauritius, you must choose to go out to sea once, and the greater pleasure of going out to sea is to see dolphins. Dolphin Bay is located in Tamarin, a town on the west coast of Mauritius, surrounded by mountains and beautiful scenery. If you want to see dolphins, you must take a speedboat. When the speedboat finds dolphins, you can turn your head or keep up, and you can see dolphins up close. In addition to several companies that offer swimming services with wild dolphins, luxury resorts in small towns also have dedicated dinghies to take guests there. Shoes need to be taken off before boarding the ship, collected by the crew and stored in several boxes, and then barefoot, set foot on the cleaned ship. As the speedboat left the pier and sailed towards the middle of the sea, if the weather was good at this time, the water was sparkling. As the boat sailed farther and farther, the color of the water changed from green to sapphire blue, to dark blue. When you arrive at the bay, you only need to wait for the dolphins to appear. Generally, before 10 am, the dolphins are in the predation stage. At this time, the probability of seeing dolphins is more than 90%. Bottlenose Dolphin Mao Island is one of the best places in the world to get up close and personal with bottlenose dolphins, a common species of dolphin, these little gray creatures that live in warm water and are named for their elongated snouts. They swim very fast, and it is said that dolphins generally swim at a speed of 5 to 11 kilometers per hour, and can reach 35 kilometers per hour faster. However, if the speed is maintained, it only lasts for a short time. Bottlenose dolphins breathe through the water jets above their heads, so they have to get up to the surface every 5-8 minutes to breathe. When the dolphins appeared, all the people around began to cheer and cheer, and the whole Dolphin Bay was filled with joy. The dolphins are always near and far, and the boats keep chasing the dolphins. Whenever a dolphin swims in front of the boat, the people on the boat will be very excited and exclaimed constantly, and the dolphins will often respond to people's exclamations and jump out of the water happily. , and even a nice front flip. Dolphins sprang out of the water from time to time, exclaiming one after another. Groups of dolphins are happily swimming in the sea on the waves, at this time, you can jump into the water and swim with them in the sea, chasing them. In the sea, wisps of sun beams shoot into the sea, and in front of you it looks like a palace with brilliant golden walls. You can see the seabed more than ten meters deep covered with coral, and more than a hundred dolphins swim in groups within the field of vision. , for a while to the sea to breathe, and then to sink to the bottom of the sea, very wonderful. During the two-and-a-half-hour interaction with people, dolphins can be seen constantly swimming up and interacting with the divers. They are not afraid of humans at all and are very friendly. After visiting the dolphins, the speedboat will take you back to shore, or to the next attraction."
