Country,Place,Details,Class,WordCountBeforeCleaning
United States,ST Robotics,st industrial robot articulated robot arm reach mm maximum payload capacity kg company bill ideal benchtop automation testing sample handling model reach mm maximum payload capacity kg help automate product testing welding spraying application access limited difficult,Robotic,75
Indonesia,Bali Bird Park,innovative bali bird park arrived scene year park committed preservation conservation breeding exotic bird life region divided region recreate natural habitat bird complete indigenous plant life bali bird park play key role protecting conserving endangered successfully bred specie including rare parrot numerous bali starling bred mainly support local release program park accommodate specie protected indonesian bird growing number breeding successfully care staff,None Related,116
Africa,Sahara,sahara desert morocco often used entrance sahara whether experience trip ordinary tourist journey sahara explorer start,None Related,36
France,FourviÃ¨re,symbol lyon cradle lyon birthplace christianity lyon tourist walk cable car mountain top mountain commanding height lyon overlook whole city lyon good place enjoy night view catholic church lady fourviere hill century baroque style south side roman arena roman gallic museum,None Related,94
United States,Boeing,global leader aerospace aviation innovation utilizing vast industry expertise technology soar higher efficiency operating within commercial aviation defense space industry provides boeing opportunity create technology solve range challenge continually transforming process exceptional performance,Aerospace,52
Japan,Kinkaku-ji,ancient japanese temple kyoto completed originally served villa shogun ashikaga yoshimitsu later transformed zen buddhist temple originally named literally deer garden temple known temple golden pavilion owing gold foil outside building wrapped addition famous tourist attraction designated national treasure japanese government symbol kyoto,None Related,89
Malaysia,Putra Mosque,pink mosque putrajaya new administrative center malaysia entire mosque lake brat known water mosque visually stunning thanks pink dome topped granite construction mosque started huge cost accommodate exterior pink quite soft color lot rose marble mosque nine dome reach height meter standing prince edward square good spot photograph exterior mosque blue sky white cloud clear water pink sanctuary beautiful ca eye like forbidden city beijing red red flame rose mosque like pink holy lotus blooming water clear rhythm pure dream mosque mainly composed three part prayer hall big minaret mausoleum roof hall look like open umbrella consists large small round arch radiating star representing state country five commandment islam shape spire big minaret like rocket whole tower meter high elevator stair leading upper end mausoleum behind mosque national hero islam buried came mosque tour group china india time constraint tour group took picture outside independent tourist visit enough time interior mosque actually magnificent dreamy appearance red sign entrance mosque say woman menstruating child age five allowed enter prayer hall visitor must properly dressed revealing entering quiet loud noise temple smoking therefore whether boy girl get red blue robe free entrance wear body wear hat time girl ca show hair staff reminding time addition shoe must taken put rack specially shoe remember put entering staff member explain free photography prohibited prayer hall please strictly abide idol temple muslim prayer direction mecca mosque divided two floor second floor used exclusively woman downstairs used men muslim worship certain time every day time sound koran played high minaret mosque lingers melodiously sky mosque pleasant design mosque quite environmentally friendly prayer hall spacious pillar center pillar vacuum design weather hot motor bottom lake pumped interior feel slightly cool entering mosque addition koran decoration temple yellow explanatory diagram wall telling correct mode worship addition mosque auditorium capacity two classroom lecture lecture held hungry mosque restaurant used tourist eat hold religious event,None Related,694
United States,Honeybee Robotics,honeybee technology used multiple nasa space mission mar visit included since big player defense mining oil gas industry making intelligent excavation system autonomous drill sampling system among innovation,Robotic,43
Indonesia,Prambanan Temple,prambanan magnificent hindu temple indonesia damaged volcano earthquake temple ruin prambanan century ad era angkor wat cambodia similarity architectural form sculptural theme temple courtyard building outer two floor ruin inner layer preserve several temple three magnificent main temple dedicated shiva brahma vishnu three small temple respectively enshrined mount divine bull divine goose condor like borobudur prambanan temple volcanic rock wall covered exquisite relief content mostly based indian epic ramayana compared angkor wat although story told artistic style character quite different,None Related,155
South America,Plaza de Armas,lima plaza de armas known central square birthplace core lima spiritual cultural center lima palace older part bronze fountain center square century spanish colonial building square,None Related,54
Africa,Kruger National Park,kruger national park south total area square kilometer border mozambique south kruger typical grassland landform countless wild animal live vast grassland,None Related,40
Portugal,Santorini,santorini island southern part aegean sea greece picturesque large number classic blue white building aegean sea known brightly colored beach pure beautiful bay become honeymoon paradise holiday destination countless dream place legendary ancient developed civilization atlantis sank full mystery island santorini north south eastern part gentle terrain scattered beach hill middle full vineyard west side large area cliff towering connected cliff hotel sitting calm bay enjoy beautiful sea view watch sunset romantic main town island fira oia although santorini big worth savoring exploring public transportation system island punctual better choice rent car travel around find troublesome drive cruise around island organized local tour group addition participate project sightseeing hiking sea kayaking santorini island small town fira cliff west side shop restaurant among narrow alley lively place island good place watch sea experience feeling riding small donkey go winery island taste glass mellow greek wine enjoy sea breeze black sand beach red sand beach berisha beach kamari enjoy sun feel beach colorful nightlife iconic church featured cover national geographic trail leading town firostefani fira small town oia drive fira another large town santorini addition church seen everywhere beautiful sunset aegean sea white town eye moving picture sunset volcano sightseeing santorini popular tourist item sign local tour group various town go boat hike kameni volcano sulphur hot spring bay swimming small submarine visit deep water thira crater special experience particularly interested history culture ancient greece go ruin akrotiri ancient fira remnant legendary atlantis missed mountain road relatively rugged must wear appropriate shoe clothing shopping santorini indispensable various handicraft store jewelry store everywhere island island landscape painting volcanic stone handicraft handmade gold jewelry traditional costume local specialty good choice,None Related,564
New Zealand,Christchurch Botanic Gardens,christchurch botanic garden july natural wetland sand dune year transformed beautiful garden full flower botanical garden cover area hectare subsidiary garden different style kind local introduced plant specie subsidiary garden avon river basin rose garden herb garden garden different style enter botanical garden rolleston avenue side canterbury museum enjoy annual flower bed gardening exhibition walk grassy arrowing lawn arrive rose garden kind rose garden colorful fragrant showing luxurious beauty rose nearby herb garden filled various culinary medicinal plant quite worth visit next rose garden new zealand garden showcase charm various new zealand native plant seven greenhouse display exotic plant cactus succulent tropical orchid carnivorous plant,None Related,190
United States,Vecna Robotics,used manufacturing warehousing fulfillment autonomous robot transport lift convey type material environment help warehouse distribution operator move product quickly minimal handling company say platform increase cart pick rate optimizing pick automating horizontal transport significantly reducing walking,Robotic,53
Indonesia,Lovina Beach,lovina beach northern tip bali favorite place diving enthusiast due erosion volcanic rock sea unique black sand beach formed quietest beach bali going lovina dolphin item rottweiler mean sea honey named chief singaraja lovina beach suitable tourist seek privacy low decibel slow rhythm sharp contrast kuta hundred dolphin live area water dawn go hunt group forming spectacular dolphin legion sea diving resort professional diving enthusiast diving resort better shore admire tropical fish look small coral area know dive renting boat coral sea depth meter unique experience ten meter deep sea coral reef feel splendor nature without water,None Related,206
South America,SÃ£o Paulo Cathedral,st paul cathedral known metro paulitana cathedral fourth largest gothic cathedral world gateway paul tourism church took year became luxurious engineering tribute paul celebrated anniversary founding city church style entire project designed constructed maximiliano architect term artistic feature combine gothic renaissance style addition gothic spire cathedral arch central dome make cathedral designer imitated cathedral santa maria del fiore florence detail church predecessor cathedral catacomb church house coffin famous including former indian chief glass window reflects different religious theme bible church house largest pipe organ latin america italian pipe organ sound pipe large set bell containing small bell,None Related,176
Africa,Royal Palace Rabat Morocco,rabat palace history year typical arabian palace building royal palace avenue wide straight ancient cannon around square large circular fountain center square king morocco welcome head state world palace approached allowed stop look around long time allowed picture,None Related,87
United States,Neurala,vision inspection automation software meant improve quality control make manufacturing process efficient company say technology challenging defect type yet user prior ai expertise software simple set integrate deploy,Robotic,48
France,Rodin Museum,musee rodin museum paris france house exhibit work famed french sculptor auguste rodin museum housed hotel biron surrounding garden rodin used workshop year upon death per request building turned museum famous sculpture thinker museum piece visitor explore collection broken medium sized exhibit,None Related,83
Japan,Arima Onsen,arima onsen relatively old hot spring kansai region arima town kita ward kobe city hyogo prefecture arima onsen japan three largest hot spring hot spring area said buddhist monk century surrounded mountain three side enjoy cherry blossom spring maple tree autumn addition famous hot spring place quite popular tourist water quality arima onsen rich mineral divided golden spring silver spring radium spring carbonated spring according different spring quality addition spring quality arima onsen slightly salty rumored ancient samurai injured soaking area would make wound easier heal bathing warm heat often mirror dense cloud mist mountain outside today hot spring area concentration elegant hot spring hotel quiet style another charming style kobe,None Related,183
Japan,The Wizarding World Of Harry Potter,magic discover sight wizarding reproduce world harry potter story bringing life phenomenal scale universal studio japan wizarding world harry potter theme park based story character well selling harry potter series visitor must walk past gigantic rock follow path lined tree three storey high great door magical world spring sight besides housing attraction game related harry potter movie park feature site found book including restaurant shop help make visitor feel truly walked world magic inside hogwarts castle explore classroom corridor hogwarts school witchcraft wizardry including dumbledore office defence dark art classroom ï hogsmeade village wizard reside array shop frequented student hogwarts school witchcraft wizardry ï magical adventure flying ground,None Related,188
