,Place,Details,Class
0,Signal Hill,"Signal Hill is located on the side of Table Mountain and is named after the firing of cannons at noon. The other end is also known as the Lion's Head Mountain because of the appearance of the lion's head. Signal Hill is only 346 meters above sea level. There are multiple angles on the mountain to overlook the cityscape of Cape Town, the vast Atlantic Ocean and the panoramic view of the famous Table Mountain. Signal Hill is also a good place to watch the Cape Town night view, which is known as one of the three major night views in the world. There are wonderful views from multiple angles on the mountain. The dazzling, crystal clear, endless fire trees and silver flowers that stretch for dozens of kilometers are breathtaking and unforgettable. A very traditional ceremony is held every day in Cape Town at noon except on Sundays. The cannon salvo on Signal Hill was so punctual that the South Africans even used it to set clocks.",None Related
1,Alexandria Library,"This futuristic disc-shaped building is a world-renowned reading place with more than 2,000 seats for readers. The entire building is covered in a variety of scripts from around the world to reflect the multicultural heritage and spirit of the library. There are 8 million books in the collection. A traditional library tour begins in the lobby with a multilingual guide (English, French, Italian and Spanish). It is divided into 4 fixed museums, whose themes are antiques, manuscripts, former Egyptian President Sadat and the history of science. An important feature of the library is the interactive display of Egyptian cultural traditions, ""CULTURAMA"": nine huge computer screens form a semicircle to show people a panorama of war or history. The interactivity of the screen ensures that the presenter can explore the 5,000-year history, and when he clicks on specific content or major events, people can better understand the situation.",None Related
2,Pompey's Pillar,"The Pompeii Column towers over the ruins of the Temple of Serapeum, which requires 100 steps to reach. The Pompeii Column is a huge column 22 meters high, hewn from red Aswan granite, this is the famous Pompeii Column, it stands impressively on the remains of the Rhakotis hill, Alexander the Great is grew up here. Over the centuries, the Pompeii Column has been the main attraction of Alexandria. Its main body is a shaft-shaped cone-shaped granite with a foundation depth of 2.7 meters and a beautiful Corinthian capital at the top. An inscription at the base of the Pompeii column shows that the column was built in AD 291 to support a statue of Emperor Diocletian. In order to spread Greek culture and protect Egyptian civilization, the rulers of that year founded the Serapis belief. The word ""Serapis"" comes from the Egyptian god Osirapis, to which Ptomiele I added the characteristics of the Greek gods, created a new patron god Serapis for his people, and placed it on Mount Rohaktes. The temple of Serabyum was built on the mound. In the subsequent political and religious disputes, the temple was destroyed by Christians.",None Related
3,Nairobi National Park,"Nairobi National Park is 8 kilometers south of Nairobi city center, west of A104 National Road, there is a 120 square kilometers of savannah and woodland, this is Africa's first wildlife park - Nairobi National Park. Nairobi Park is also the only true safari park in the world located in the national capital.",None Related
4,Giraffe Centre,"The Giraffe Center is home to endangered Rothschild giraffes, and its mission is to foster conservation awareness and provide environmental education with the goal of inspiring people to appreciate and protect the diversity of animals in Kenya. The place is very interesting and there are a lot of activities. You can observe, feed and even kiss the giraffes from the second-floor balcony of a red building. This is a very strange and extremely rare experience, especially for children or adults with childlike innocence. From the Giraffe Center, you can also cross the adjacent Gogo River (Gogo River), enter the bird sanctuary, and take a walk for a fun forest walk. Unlike the common reticulated and Masai Mara giraffes, Rothschild giraffes are an endangered species that have largely disappeared from their habitat in western Kenya. In 1979, when the African Endangered Wildlife Fund was just getting started, there were fewer than 130 Rothschild giraffes in the wild. Today, the number of this species exceeds 300, and the Giraffe Centre has successfully reintroduced these charismatic animals to Lake Nakuru National Park, Ruma National Reserve, Ruma National Park (NationalPark) and Nasalot National Reserve (Nasalot National Reserve).",None Related
5,Mortuary Temple of Hatshepsut,This is the temple built by the famous Queen Hatshepsut and her father Thutmose I in Egyptian history. It is located in a valley surrounded by cliffs. Two long and wide slopes connect three flat and wide colonnade buildings in series.,None Related
6,Royal Palace Rabat Morocco,"The Rabat Palace has a history of 227 years and is a typical Arabian palace building. The Royal Palace Avenue is wide and straight. There are ancient cannons around the square and a large circular fountain in the center. This is also the square where the King of Morocco welcomes the heads of states from all over the world. The palace is not to be approached, it is not allowed to stop and look around for a long time, and it is not allowed to take pictures.",None Related
7,Mount Kilimanjaro,"Mount Kilimanjaro is located at the junction of Tanzania and Kenya, with a height of 5895 meters and an area of 756 square kilometers. ""Kilimanjaro"" in Swahili means ""shining mountain"" or ""bright and beautiful mountain"", standing on a rolling plain not far from the Indian Ocean, known as the ""Roof of Africa"" and ""Africa The temple of God"", the peak is covered with snow all year round, forming a spectacle of equatorial snow-capped mountains. Most of the people who admire this peak are due to the influence of Hemingway. In the famous novel ""The Snows of Kilimanjaro"", Hemingway outlines the magical mood with a few strokes at the beginning. However, with the global warming effect, Kilimanjaro's snow is melting and could disappear completely within 15 years. Compared to 1912 alone, Kilimanjaro's ""snow cap"" has shrunk by 82 percent.",None Related
8,Lion & Safari Park,"One of the must-see attractions in Johannesburg is a wild lion protection base, where you can feed the lions with your own hands, and have the opportunity to take pictures with the little lions.",None Related
9,Baie du Tamarin,"If you come to Mauritius, you must choose to go out to sea once, and the greater pleasure of going out to sea is to see dolphins. Dolphin Bay is located in Tamarin, a town on the west coast of Mauritius, surrounded by mountains and beautiful scenery. If you want to see dolphins, you must take a speedboat. When the speedboat finds dolphins, you can turn your head or keep up, and you can see dolphins up close. In addition to several companies that offer swimming services with wild dolphins, luxury resorts in small towns also have dedicated dinghies to take guests there. Shoes need to be taken off before boarding the ship, collected by the crew and stored in several boxes, and then barefoot, set foot on the cleaned ship. As the speedboat left the pier and sailed towards the middle of the sea, if the weather was good at this time, the water was sparkling. As the boat sailed farther and farther, the color of the water changed from green to sapphire blue, to dark blue. When you arrive at the bay, you only need to wait for the dolphins to appear. Generally, before 10 am, the dolphins are in the predation stage. At this time, the probability of seeing dolphins is more than 90%. Bottlenose Dolphin Mao Island is one of the best places in the world to get up close and personal with bottlenose dolphins, a common species of dolphin, these little gray creatures that live in warm water and are named for their elongated snouts. They swim very fast, and it is said that dolphins generally swim at a speed of 5 to 11 kilometers per hour, and can reach 35 kilometers per hour faster. However, if the speed is maintained, it only lasts for a short time. Bottlenose dolphins breathe through the water jets above their heads, so they have to get up to the surface every 5-8 minutes to breathe. When the dolphins appeared, all the people around began to cheer and cheer, and the whole Dolphin Bay was filled with joy. The dolphins are always near and far, and the boats keep chasing the dolphins. Whenever a dolphin swims in front of the boat, the people on the boat will be very excited and exclaimed constantly, and the dolphins will often respond to people's exclamations and jump out of the water happily. , and even a nice front flip. Dolphins sprang out of the water from time to time, exclaiming one after another. Groups of dolphins are happily swimming in the sea on the waves, at this time, you can jump into the water and swim with them in the sea, chasing them. In the sea, wisps of sun beams shoot into the sea, and in front of you it looks like a palace with brilliant golden walls. You can see the seabed more than ten meters deep covered with coral, and more than a hundred dolphins swim in groups within the field of vision. , for a while to the sea to breathe, and then to sink to the bottom of the sea, very wonderful. During the two-and-a-half-hour interaction with people, dolphins can be seen constantly swimming up and interacting with the divers. They are not afraid of humans at all and are very friendly. After visiting the dolphins, the speedboat will take you back to shore, or to the next attraction.",None Related
